source,leaf,paths
Hypokalemia,GI K+ loss,Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ <15 mmol/day or <15 mmol/g Cr -> Extrarenal loss/remote renal loss -> Check Acid-base status -> Metabolic acidosis -> GI K+ loss||Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ >15 mmol/g Cr or >15 mmol/day -> Renal loss -> Check TTKG -> TTKG >4 -> Increased Distal (CCD) K+ secretion -> Check Blood pressure and/or volume -> Low or normal -> Check Acid-base status -> Metabolic acidosis -> GI K+ loss
Hypokalemia,Profuse sweating,Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is there an emergency? -> Proceed to next question -> Check Urine K+ -> Urine K+ >15 mmol/g Cr or >15 mmol/day -> Renal loss -> Check TTKG -> TTKG >4 -> Increased Distal (CCD) K+ secretion -> Check Blood pressure and/or volume -> Low or normal -> Check Acid-base status -> Normal -> Profuse sweating||Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is there an emergency? -> Proceed to next question -> Check Urine K+ -> Urine K+ >15 mmol/g Cr or >15 mmol/day -> Renal loss -> Check TTKG -> TTKG >4 -> Increased Distal (CCD) K+ secretion -> Check Blood pressure and/or volume -> Low or normal -> Check Acid-base status -> Metabolic alkalosis -> Profuse sweating||Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is there an emergency? -> Proceed to next question -> Check Urine K+ -> Urine K+ >15 mmol/g Cr or >15 mmol/day -> Renal loss -> Check TTKG -> TTKG >4 -> Increased Distal (CCD) K+ secretion -> Check Blood pressure and/or volume -> High -> Check Aldosterone -> Low -> Check Cortisol -> Normal -> Profuse sweating||Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is there an emergency? -> Proceed to next question -> Check Urine K+ -> Urine K+ >15 mmol/g Cr or >15 mmol/day -> Renal loss -> Check TTKG -> TTKG >4 -> Increased Distal (CCD) K+ secretion -> Check Blood pressure and/or volume -> High -> Check Renin -> Low -> Check Cortisol -> Normal -> Profuse sweating||Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ <15 mmol/day or <15 mmol/g Cr -> Extrarenal loss/remote renal loss -> Check Acid-base status -> Normal -> Profuse sweating||Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ <15 mmol/day or <15 mmol/g Cr -> Extrarenal loss/remote renal loss -> Check Acid-base status -> Metabolic alkalosis -> Profuse sweating||Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ >15 mmol/g Cr or >15 mmol/day -> Renal loss -> Check TTKG -> TTKG >4 -> Increased Distal (CCD) K+ secretion -> Check Blood pressure and/or volume -> Low or normal -> Check Acid-base status -> Normal -> Profuse sweating||Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ >15 mmol/g Cr or >15 mmol/day -> Renal loss -> Check TTKG -> TTKG >4 -> Increased Distal (CCD) K+ secretion -> Check Blood pressure and/or volume -> Low or normal -> Check Acid-base status -> Metabolic alkalosis -> Profuse sweating||Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ >15 mmol/g Cr or >15 mmol/day -> Renal loss -> Check TTKG -> TTKG >4 -> Increased Distal (CCD) K+ secretion -> Check Blood pressure and/or volume -> High -> Check Aldosterone -> Low -> Check Cortisol -> Normal -> Profuse sweating||Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ >15 mmol/g Cr or >15 mmol/day -> Renal loss -> Check TTKG -> TTKG >4 -> Increased Distal (CCD) K+ secretion -> Check Blood pressure and/or volume -> High -> Check Renin -> Low -> Check Cortisol -> Normal -> Profuse sweating
Hypokalemia,Remote diuretic use,Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ <15 mmol/day or <15 mmol/g Cr -> Extrarenal loss/remote renal loss -> Check Acid-base status -> Metabolic alkalosis -> Remote diuretic use||Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ >15 mmol/g Cr or >15 mmol/day -> Renal loss -> Check TTKG -> TTKG >4 -> Increased Distal (CCD) K+ secretion -> Check Blood pressure and/or volume -> Low or normal -> Check Acid-base status -> Metabolic alkalosis -> Remote diuretic use
Hypokalemia,Remote vomiting or stomach drainage,Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ <15 mmol/day or <15 mmol/g Cr -> Extrarenal loss/remote renal loss -> Check Acid-base status -> Metabolic alkalosis -> Remote vomiting or stomach drainage||Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ >15 mmol/g Cr or >15 mmol/day -> Renal loss -> Check TTKG -> TTKG >4 -> Increased Distal (CCD) K+ secretion -> Check Blood pressure and/or volume -> Low or normal -> Check Acid-base status -> Metabolic alkalosis -> Remote vomiting or stomach drainage
Hypokalemia,Hippurate,Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ <15 mmol/day or <15 mmol/g Cr -> Extrarenal loss/remote renal loss -> Check Acid-base status -> Variable -> Nonreabsorbable anions other than HCO3- -> Hippurate||Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ >15 mmol/g Cr or >15 mmol/day -> Renal loss -> Check TTKG -> TTKG >4 -> Increased Distal (CCD) K+ secretion -> Check Blood pressure and/or volume -> Low or normal -> Check Acid-base status -> Variable -> Nonreabsorbable anions other than HCO3- -> Hippurate
Hypokalemia,Penicillin,Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ <15 mmol/day or <15 mmol/g Cr -> Extrarenal loss/remote renal loss -> Check Acid-base status -> Variable -> Nonreabsorbable anions other than HCO3- -> Penicillin||Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ >15 mmol/g Cr or >15 mmol/day -> Renal loss -> Check TTKG -> TTKG >4 -> Increased Distal (CCD) K+ secretion -> Check Blood pressure and/or volume -> Low or normal -> Check Acid-base status -> Variable -> Nonreabsorbable anions other than HCO3- -> Penicillin
Hypokalemia,RTA type 1,Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ <15 mmol/day or <15 mmol/g Cr -> Extrarenal loss/remote renal loss -> Check Acid-base status -> Metabolic acidosis -> RTA type 1||Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ >15 mmol/g Cr or >15 mmol/day -> Renal loss -> Check TTKG -> TTKG >4 -> Increased Distal (CCD) K+ secretion -> Check Blood pressure and/or volume -> Low or normal -> Check Acid-base status -> Metabolic acidosis -> RTA type 1
Hypokalemia,RTA type 2,Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ <15 mmol/day or <15 mmol/g Cr -> Extrarenal loss/remote renal loss -> Check Acid-base status -> Metabolic acidosis -> RTA type 2||Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ >15 mmol/g Cr or >15 mmol/day -> Renal loss -> Check TTKG -> TTKG >4 -> Increased Distal (CCD) K+ secretion -> Check Blood pressure and/or volume -> Low or normal -> Check Acid-base status -> Metabolic acidosis -> RTA type 2
Hypokalemia,DKA,Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ <15 mmol/day or <15 mmol/g Cr -> Extrarenal loss/remote renal loss -> Check Acid-base status -> Metabolic acidosis -> DKA||Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ >15 mmol/g Cr or >15 mmol/day -> Renal loss -> Check TTKG -> TTKG >4 -> Increased Distal (CCD) K+ secretion -> Check Blood pressure and/or volume -> Low or normal -> Check Acid-base status -> Metabolic acidosis -> DKA
Hypokalemia,Amphotericin B,Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ <15 mmol/day or <15 mmol/g Cr -> Extrarenal loss/remote renal loss -> Check Acid-base status -> Metabolic acidosis -> Amphotericin B||Patient with HYPOKALEMIA (serum K+ <3.5 mmol/L) -> Is it Pseudohypokalemia? -> Proceed to next question -> Check Urine K+ -> Urine K+ >15 mmol/g Cr or >15 mmol/day -> Renal loss -> Check TTKG -> TTKG >4 -> Increased Distal (CCD) K+ secretion -> Check Blood pressure and/or volume -> Low or normal -> Check Acid-base status -> Metabolic acidosis -> Amphotericin B
