source,leaf,paths
Patient with SEXUAL DYSFUNCTION,Depression,"Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Depression||Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Other psychological problems -> Marital/sex therapy -> Depression||Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Marital/sex therapy -> Depression"
Patient with SEXUAL DYSFUNCTION,Fatigue,"Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Fatigue"
Patient with SEXUAL DYSFUNCTION,Medical Therapy as Appropriate,"Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Medical Therapy as Appropriate||Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Insertional -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Erections absent or inadequate -> Medical Therapy as Appropriate||Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Deep thrust -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Erections absent or inadequate -> Medical Therapy as Appropriate"
Patient with SEXUAL DYSFUNCTION,Sex therapy,"Detailed history, including sexual history Focused physical examination -> Male patient -> Ejaculatory dysfunction -> Delayed -> Eugonad -> Sex therapy||Detailed history, including sexual history Focused physical examination -> Female patient -> Anorgasmia -> Lack of understanding of female sexual function -> Self-stimulation/use of erotica -> Sex therapy||Detailed history, including sexual history Focused physical examination -> Female patient -> Vaginismus -> Inexperience/fear -> Sex therapy"
Patient with SEXUAL DYSFUNCTION,Nocturnal penile tumescence ring,"Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Deep thrust -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Nocturnal penile tumescence ring"
Patient with SEXUAL DYSFUNCTION,"Trial Oral PDE5 Agents (e.g., sildenafil)","Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Deep thrust -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Erections absent or inadequate -> Trial Oral PDE5 Agents (e.g., sildenafil)"
Patient with SEXUAL DYSFUNCTION,Topical/Injection Therapy,"Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Deep thrust -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Erections absent or inadequate -> Topical/Injection Therapy"
Patient with SEXUAL DYSFUNCTION,Urologic referral,"Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Deep thrust -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Erections absent or inadequate -> Urologic referral"
Patient with SEXUAL DYSFUNCTION,Psychiatric referral,"Detailed history, including sexual history Focused physical examination -> Male patient -> Erectile dysfunction -> Morning erections absent -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Lubricating Agents -> Gynecology referral -> History of sexual abuse -> Psychiatric referral||Detailed history, including sexual history Focused physical examination -> Male patient -> Erectile dysfunction -> Morning erections absent -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Gynecology referral -> History of sexual abuse -> Psychiatric referral||Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> History of sexual abuse -> Psychiatric referral||Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Other psychological problems -> Marital/sex therapy -> History of sexual abuse -> Psychiatric referral||Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Other psychological problems -> Psychiatric referral||Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Marital/sex therapy -> History of sexual abuse -> Psychiatric referral||Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Insertional -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Lubricating Agents -> Gynecology referral -> History of sexual abuse -> Psychiatric referral||Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Insertional -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Gynecology referral -> History of sexual abuse -> Psychiatric referral||Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Deep thrust -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Lubricating Agents -> Gynecology referral -> History of sexual abuse -> Psychiatric referral||Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Deep thrust -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Gynecology referral -> History of sexual abuse -> Psychiatric referral||Detailed history, including sexual history Focused physical examination -> Female patient -> Vaginismus -> Inexperience/fear -> Gynecology referral -> History of sexual abuse -> Psychiatric referral||Detailed history, including sexual history Focused physical examination -> Female patient -> Vaginismus -> Inexperience/fear -> Psychiatric referral"
Patient with SEXUAL DYSFUNCTION,Psychiatric referral or Sex therapy,"Detailed history, including sexual history Focused physical examination -> Male patient -> Erectile dysfunction -> Morning erections absent -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Gynecology referral -> History of sexual abuse -> Psychiatric referral or Sex therapy||Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> History of sexual abuse -> Psychiatric referral or Sex therapy||Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Other psychological problems -> Marital/sex therapy -> History of sexual abuse -> Psychiatric referral or Sex therapy||Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Marital/sex therapy -> History of sexual abuse -> Psychiatric referral or Sex therapy||Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Insertional -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Lubricating Agents -> Gynecology referral -> History of sexual abuse -> Psychiatric referral or Sex therapy||Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Insertional -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Gynecology referral -> History of sexual abuse -> Psychiatric referral or Sex therapy||Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Deep thrust -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Lubricating Agents -> Gynecology referral -> History of sexual abuse -> Psychiatric referral or Sex therapy||Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Deep thrust -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Gynecology referral -> History of sexual abuse -> Psychiatric referral or Sex therapy||Detailed history, including sexual history Focused physical examination -> Female patient -> Vaginismus -> Inexperience/fear -> Gynecology referral -> History of sexual abuse -> Psychiatric referral or Sex therapy"
