source,leaf,paths
Patient with RED EYE,Orbital cellulitis or Orbital congestion,Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Assess for deep pain. -> Determine the pattern of redness. -> Redness is localized to a specific area. -> Assess for conjunctival lesions. -> Conjunctival lesion is present. -> Orbital cellulitis or Orbital congestion||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is spread throughout the eye. -> Examine the eyelids. -> Eyelids are abnormal. -> Assess for eyelid drooping. -> Conjunctival lesion is present. -> Orbital cellulitis or Orbital congestion||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is spread throughout the eye. -> Examine the eyelids. -> Eyelids are normal. -> Check for the presence of discharge. -> Conjunctival lesion is present. -> Orbital cellulitis or Orbital congestion||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is localized to a specific area. -> Assess for conjunctival lesions. -> Conjunctival lesion is present. -> Orbital cellulitis or Orbital congestion
Patient with RED EYE,Graves' disease,Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Assess for deep pain. -> Determine the pattern of redness. -> Redness is localized to a specific area. -> Assess for conjunctival lesions. -> Conjunctival lesion is not present. -> Graves' disease||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is spread throughout the eye. -> Examine the eyelids. -> Eyelids are abnormal. -> Assess for eyelid drooping. -> Conjunctival lesion is not present. -> Graves' disease||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is spread throughout the eye. -> Examine the eyelids. -> Eyelids are normal. -> Check for the presence of discharge. -> Conjunctival lesion is not present. -> Graves' disease||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is localized to a specific area. -> Assess for conjunctival lesions. -> Conjunctival lesion is not present. -> Graves' disease
Patient with RED EYE,Corneal ulcer,Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has decreased vision. -> Perform a topical fluorescein examination. -> Corneal ulcer
Patient with RED EYE,Discontinue or replace offending agent.,Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Assess for deep pain. -> Determine the pattern of redness. -> Redness is localized to a specific area. -> Assess for conjunctival lesions. -> Conjunctival lesion is present. -> Discharge is watery or mucoid. -> No itching is present. -> Viral -> Patient has a history of medication use. -> Discontinue or replace offending agent.||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is spread throughout the eye. -> Examine the eyelids. -> Eyelids are abnormal. -> Assess for eyelid drooping. -> Conjunctival lesion is present. -> Discharge is watery or mucoid. -> No itching is present. -> Viral -> Patient has a history of medication use. -> Discontinue or replace offending agent.||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is spread throughout the eye. -> Examine the eyelids. -> Eyelids are normal. -> Check for the presence of discharge. -> Conjunctival lesion is present. -> Discharge is watery or mucoid. -> No itching is present. -> Viral -> Patient has a history of medication use. -> Discontinue or replace offending agent.||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is localized to a specific area. -> Assess for conjunctival lesions. -> Conjunctival lesion is present. -> Discharge is watery or mucoid. -> No itching is present. -> Viral -> Patient has a history of medication use. -> Discontinue or replace offending agent.
Patient with RED EYE,Allergic,Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Assess for deep pain. -> Determine the pattern of redness. -> Redness is localized to a specific area. -> Assess for conjunctival lesions. -> Conjunctival lesion is present. -> Discharge is watery or mucoid. -> No itching is present. -> Viral -> Patient has no history of medication use. -> Allergic||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is spread throughout the eye. -> Examine the eyelids. -> Eyelids are abnormal. -> Assess for eyelid drooping. -> Conjunctival lesion is present. -> Discharge is watery or mucoid. -> No itching is present. -> Viral -> Patient has no history of medication use. -> Allergic||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is spread throughout the eye. -> Examine the eyelids. -> Eyelids are normal. -> Check for the presence of discharge. -> Conjunctival lesion is present. -> Discharge is watery or mucoid. -> No itching is present. -> Viral -> Patient has no history of medication use. -> Allergic||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is localized to a specific area. -> Assess for conjunctival lesions. -> Conjunctival lesion is present. -> Discharge is watery or mucoid. -> No itching is present. -> Viral -> Patient has no history of medication use. -> Allergic
Patient with RED EYE,Itching is present.,Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Assess for deep pain. -> Determine the pattern of redness. -> Redness is localized to a specific area. -> Assess for conjunctival lesions. -> Conjunctival lesion is present. -> Discharge is watery or mucoid. -> Itching is present.||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is spread throughout the eye. -> Examine the eyelids. -> Eyelids are abnormal. -> Assess for eyelid drooping. -> Conjunctival lesion is present. -> Discharge is watery or mucoid. -> Itching is present.||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is spread throughout the eye. -> Examine the eyelids. -> Eyelids are normal. -> Check for the presence of discharge. -> Conjunctival lesion is present. -> Discharge is watery or mucoid. -> Itching is present.||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is localized to a specific area. -> Assess for conjunctival lesions. -> Conjunctival lesion is present. -> Discharge is watery or mucoid. -> Itching is present.
Patient with RED EYE,Bacterial conjunctivitis,Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Assess for deep pain. -> Determine the pattern of redness. -> Redness is localized to a specific area. -> Assess for conjunctival lesions. -> Conjunctival lesion is present. -> Discharge is purulent. -> Bacterial conjunctivitis||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is spread throughout the eye. -> Examine the eyelids. -> Eyelids are abnormal. -> Assess for eyelid drooping. -> Conjunctival lesion is present. -> Discharge is purulent. -> Bacterial conjunctivitis||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is spread throughout the eye. -> Examine the eyelids. -> Eyelids are normal. -> Check for the presence of discharge. -> Conjunctival lesion is present. -> Discharge is purulent. -> Bacterial conjunctivitis||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is localized to a specific area. -> Assess for conjunctival lesions. -> Conjunctival lesion is present. -> Discharge is purulent. -> Bacterial conjunctivitis
Patient with RED EYE,Nonspecific conjunctivitis,Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Assess for deep pain. -> Determine the pattern of redness. -> Redness is localized to a specific area. -> Assess for conjunctival lesions. -> Conjunctival lesion is not present. -> Nonspecific conjunctivitis||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is spread throughout the eye. -> Examine the eyelids. -> Eyelids are abnormal. -> Assess for eyelid drooping. -> Conjunctival lesion is not present. -> Nonspecific conjunctivitis||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is spread throughout the eye. -> Examine the eyelids. -> Eyelids are normal. -> Check for the presence of discharge. -> Conjunctival lesion is not present. -> Nonspecific conjunctivitis||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is localized to a specific area. -> Assess for conjunctival lesions. -> Conjunctival lesion is not present. -> Nonspecific conjunctivitis
Patient with RED EYE,"Pingueculum, pterygium","Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Assess for deep pain. -> Determine the pattern of redness. -> Redness is localized to a specific area. -> Assess for conjunctival lesions. -> Conjunctival lesion is present. -> Pingueculum, pterygium||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is spread throughout the eye. -> Examine the eyelids. -> Eyelids are abnormal. -> Assess for eyelid drooping. -> Conjunctival lesion is present. -> Pingueculum, pterygium||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is spread throughout the eye. -> Examine the eyelids. -> Eyelids are normal. -> Check for the presence of discharge. -> Conjunctival lesion is present. -> Pingueculum, pterygium||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is localized to a specific area. -> Assess for conjunctival lesions. -> Conjunctival lesion is present. -> Pingueculum, pterygium"
Patient with RED EYE,"Subconjunctival hemorrhage, Episcleritis","Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Assess for deep pain. -> Determine the pattern of redness. -> Redness is localized to a specific area. -> Assess for conjunctival lesions. -> Conjunctival lesion is not present. -> Subconjunctival hemorrhage, Episcleritis||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is spread throughout the eye. -> Examine the eyelids. -> Eyelids are abnormal. -> Assess for eyelid drooping. -> Conjunctival lesion is not present. -> Subconjunctival hemorrhage, Episcleritis||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is spread throughout the eye. -> Examine the eyelids. -> Eyelids are normal. -> Check for the presence of discharge. -> Conjunctival lesion is not present. -> Subconjunctival hemorrhage, Episcleritis||Determine the cause and appropriate treatment for a patient presenting with a red eye. -> Evaluate the type and location of pain. -> Patient experiences superficial pain. -> Patient has normal vision. -> Assess the pattern of redness. -> Redness is localized to a specific area. -> Assess for conjunctival lesions. -> Conjunctival lesion is not present. -> Subconjunctival hemorrhage, Episcleritis"
