source,leaf,paths
NEWLY DIAGNOSED HIV-POSITIVE Patient,Test limitations,Initial steps for newly diagnosed HIV-positive patients -> Pretest and posttest counseling -> Test limitations
NEWLY DIAGNOSED HIV-POSITIVE Patient,Treatment availability,Initial steps for newly diagnosed HIV-positive patients -> Pretest and posttest counseling -> Treatment availability
NEWLY DIAGNOSED HIV-POSITIVE Patient,Risk reduction,Initial steps for newly diagnosed HIV-positive patients -> Pretest and posttest counseling -> Risk reduction
NEWLY DIAGNOSED HIV-POSITIVE Patient,Available resources for support,Initial steps for newly diagnosed HIV-positive patients -> Pretest and posttest counseling -> Available resources for support
NEWLY DIAGNOSED HIV-POSITIVE Patient,Partner disclosure,Initial steps for newly diagnosed HIV-positive patients -> Pretest and posttest counseling -> Partner disclosure
NEWLY DIAGNOSED HIV-POSITIVE Patient,ELISA to screen for chronic infection,Initial steps for newly diagnosed HIV-positive patients -> Testing -> ELISA to screen for chronic infection
NEWLY DIAGNOSED HIV-POSITIVE Patient,"If acute infection suspected, order ELISA and HIV viral load","Initial steps for newly diagnosed HIV-positive patients -> Testing -> If acute infection suspected, order ELISA and HIV viral load"
NEWLY DIAGNOSED HIV-POSITIVE Patient,Source of infection,Initial steps for newly diagnosed HIV-positive patients -> Detailed history -> Source of infection
NEWLY DIAGNOSED HIV-POSITIVE Patient,Risks for other STDs,Initial steps for newly diagnosed HIV-positive patients -> Detailed history -> Risks for other STDs
NEWLY DIAGNOSED HIV-POSITIVE Patient,Substance abuse,Initial steps for newly diagnosed HIV-positive patients -> Detailed history -> Substance abuse
NEWLY DIAGNOSED HIV-POSITIVE Patient,"Prior Ols (tuberculosis, shingles, thrush)","Initial steps for newly diagnosed HIV-positive patients -> Detailed history -> Prior Ols (tuberculosis, shingles, thrush)"
NEWLY DIAGNOSED HIV-POSITIVE Patient,Prior vaccines,Initial steps for newly diagnosed HIV-positive patients -> Detailed history -> Prior vaccines
NEWLY DIAGNOSED HIV-POSITIVE Patient,Current medications,Initial steps for newly diagnosed HIV-positive patients -> Detailed history -> Current medications
NEWLY DIAGNOSED HIV-POSITIVE Patient,"Comorbidities, especially cardiovascular disease or risks","Initial steps for newly diagnosed HIV-positive patients -> Detailed history -> Comorbidities, especially cardiovascular disease or risks"
NEWLY DIAGNOSED HIV-POSITIVE Patient,Women: last Pap smear,Initial steps for newly diagnosed HIV-positive patients -> Detailed history -> Women: last Pap smear
NEWLY DIAGNOSED HIV-POSITIVE Patient,"Energy, appetite, weight loss","Initial steps for newly diagnosed HIV-positive patients -> Detailed review of systems -> Energy, appetite, weight loss"
NEWLY DIAGNOSED HIV-POSITIVE Patient,"Fever, chills, night sweats","Initial steps for newly diagnosed HIV-positive patients -> Detailed review of systems -> Fever, chills, night sweats"
