source,leaf,paths
Ascites,E,Diagnosis of Ascites -> Abdominal paracentesis -> Transparent yellow or crystal clear or cloudy yellow -> <500 or ≥500 -> <250 -> SAAG (g/dl) -> ≥1.1 -> Other testing -> Nephrotic ascites -> E||Diagnosis of Ascites -> Abdominal paracentesis -> Transparent yellow or crystal clear or cloudy yellow -> <500 or ≥500 -> <250 -> SAAG (g/dl) -> <1.1 -> Other testing -> Nephrotic ascites -> E
Ascites,Cardiac ascites,Diagnosis of Ascites -> Abdominal paracentesis -> Transparent yellow or crystal clear or cloudy yellow -> <500 or ≥500 -> <250 -> SAAG (g/dl) -> ≥1.1 -> Other testing -> Cardiac ascites||Diagnosis of Ascites -> Abdominal paracentesis -> Transparent yellow or crystal clear or cloudy yellow -> <500 or ≥500 -> <250 -> SAAG (g/dl) -> <1.1 -> Other testing -> Cardiac ascites
Ascites,SBP,Diagnosis of Ascites -> Abdominal paracentesis -> Transparent yellow or crystal clear or cloudy yellow -> <500 or ≥500 -> ≥250 -> ≥50% PMN -> Ascitic fluid amylase >100 U/L -> SBP||Diagnosis of Ascites -> Abdominal paracentesis -> Transparent yellow or crystal clear or cloudy yellow -> <500 or ≥500 -> ≥250 -> <50% PMN -> Ascitic fluid amylase >100 U/L -> SBP
Ascites,Secondary bacterial peritonitis,Diagnosis of Ascites -> Abdominal paracentesis -> Transparent yellow or crystal clear or cloudy yellow -> <500 or ≥500 -> ≥250 -> ≥50% PMN -> SAAG <1.1 -> Secondary bacterial peritonitis||Diagnosis of Ascites -> Abdominal paracentesis -> Transparent yellow or crystal clear or cloudy yellow -> <500 or ≥500 -> ≥250 -> <50% PMN -> SAAG <1.1 -> Secondary bacterial peritonitis
Ascites,Pancreatic ascites,Diagnosis of Ascites -> Abdominal paracentesis -> Transparent yellow or crystal clear or cloudy yellow -> <500 or ≥500 -> ≥250 -> ≥50% PMN -> Ascitic fluid amylase >100 U/L -> Pancreatic ascites||Diagnosis of Ascites -> Abdominal paracentesis -> Transparent yellow or crystal clear or cloudy yellow -> <500 or ≥500 -> ≥250 -> <50% PMN -> Ascitic fluid amylase >100 U/L -> Pancreatic ascites
Ascites,Peritoneal carcinomatosis,Diagnosis of Ascites -> Abdominal paracentesis -> Transparent yellow or crystal clear or cloudy yellow -> <500 or ≥500 -> ≥250 -> ≥50% PMN -> SAAG <1.1 -> Peritoneal carcinomatosis||Diagnosis of Ascites -> Abdominal paracentesis -> Transparent yellow or crystal clear or cloudy yellow -> <500 or ≥500 -> ≥250 -> <50% PMN -> SAAG <1.1 -> Peritoneal carcinomatosis
Ascites,F,Diagnosis of Ascites -> Abdominal paracentesis -> Transparent yellow or crystal clear or cloudy yellow -> <500 or ≥500 -> ≥250 -> ≥50% PMN -> SAAG <1.1 -> Tuberculous peritonitis -> F||Diagnosis of Ascites -> Abdominal paracentesis -> Transparent yellow or crystal clear or cloudy yellow -> <500 or ≥500 -> ≥250 -> <50% PMN -> SAAG <1.1 -> Tuberculous peritonitis -> F
Ascites,Subtract 1 WBC/750 RBC Subtract 1 PMN/250 RBC,Diagnosis of Ascites -> Abdominal paracentesis -> Subtract 1 WBC/750 RBC Subtract 1 PMN/250 RBC
Ascites,Triglyceride concentration,Diagnosis of Ascites -> Abdominal paracentesis -> Triglyceride concentration
Ascites,Quantitative bilirubin concentration,Diagnosis of Ascites -> Abdominal paracentesis -> Quantitative bilirubin concentration
