source,leaf,paths
Chronic Abdominal Pain,Collect patient's medical history,Initial assessment of the patient -> Collect patient's medical history
Chronic Abdominal Pain,Perform a physical examination,Initial assessment of the patient -> Perform a physical examination
Chronic Abdominal Pain,Conduct laboratory tests,Initial assessment of the patient -> Conduct laboratory tests
Chronic Abdominal Pain,Pain originating from the abdominal wall,Initial assessment of the patient -> Pain originating from the abdominal wall
Chronic Abdominal Pain,Pain referred from spinal nerve,Initial assessment of the patient -> Pain referred from spinal nerve
Chronic Abdominal Pain,Perform ultrasonography,"Initial assessment of the patient -> Assess for vascular aneurysm -> Perform ultrasonography||Initial assessment of the patient -> Pain originating from pelvic area -> Perform ultrasonography||Initial assessment of the patient -> Source of pain is not localized or apparent -> Consider tumor, cyst, infection, or inflammatory processes -> Perform ultrasonography||Initial assessment of the patient -> Evidence points to visceral organ as the source -> Assess pancreas-related issues -> Perform ultrasonography||Initial assessment of the patient -> Evidence points to visceral organ as the source -> Assess hepatobiliary-related issues -> Perform ultrasonography||Initial assessment of the patient -> Evidence points to visceral organ as the source -> Assess renal-related issues -> Perform ultrasonography"
Chronic Abdominal Pain,Perform CT scan,"Initial assessment of the patient -> Assess for vascular aneurysm -> Perform CT scan||Initial assessment of the patient -> Source of pain is not localized or apparent -> Consider tumor, cyst, infection, or inflammatory processes -> Perform CT scan||Initial assessment of the patient -> Evidence points to visceral organ as the source -> Assess small bowel-related issues -> Perform CT scan||Initial assessment of the patient -> Evidence points to visceral organ as the source -> Assess pancreas-related issues -> Perform CT scan||Initial assessment of the patient -> Evidence points to visceral organ as the source -> Assess hepatobiliary-related issues -> Perform CT scan||Initial assessment of the patient -> Evidence points to visceral organ as the source -> Assess renal-related issues -> Perform CT scan"
Chronic Abdominal Pain,Perform angiography,Initial assessment of the patient -> Assess for vascular aneurysm -> Perform angiography||Initial assessment of the patient -> Source of pain is not localized or apparent -> Consider chronic mesenteric ischemia or vasculitis -> Perform angiography
Chronic Abdominal Pain,Perform laparoscopy,"Initial assessment of the patient -> Pain originating from pelvic area -> Perform laparoscopy||Initial assessment of the patient -> Source of pain is not localized or apparent -> Consider tumor, cyst, infection, or inflammatory processes -> Perform laparoscopy"
Chronic Abdominal Pain,Perform laparotomy,"Initial assessment of the patient -> Source of pain is not localized or apparent -> Consider tumor, cyst, infection, or inflammatory processes -> Perform laparotomy"
Chronic Abdominal Pain,Consider metabolic disorders,Initial assessment of the patient -> Source of pain is not localized or apparent -> Consider metabolic disorders
