source,leaf,paths
root,"Onset: Congenital, Abrupt, Gradual","Chronic Diarrhea -> History -> Onset: Congenital, Abrupt, Gradual"
root,"Stool characteristics: Watery, Bloody, Fatty, Fecal Incontinence","Chronic Diarrhea -> History -> Stool characteristics: Watery, Bloody, Fatty, Fecal Incontinence"
root,"Abdominal pain: IBD, Irritable bowel syndrome, Ischemia, Weight loss, Malabsorption, Neoplasm","Chronic Diarrhea -> History -> Abdominal pain: IBD, Irritable bowel syndrome, Ischemia, Weight loss, Malabsorption, Neoplasm"
root,"Aggravating factors: Diet, Stress, Mitigating factors, Previous evaluation","Chronic Diarrhea -> History -> Aggravating factors: Diet, Stress, Mitigating factors, Previous evaluation"
root,"Iatrogenic diarrhea: Drugs, Radiation, Surgery, Factitious diarrhea, Laxatives","Chronic Diarrhea -> History -> Iatrogenic diarrhea: Drugs, Radiation, Surgery, Factitious diarrhea, Laxatives"
root,"Systemic diseases: Hyperthyroidism, Diabetes mellitus, Collagen vascular diseases, Tumor syndromes, AIDS, Immunoglobulin deficiencies","Chronic Diarrhea -> History -> Systemic diseases: Hyperthyroidism, Diabetes mellitus, Collagen vascular diseases, Tumor syndromes, AIDS, Immunoglobulin deficiencies"
root,"General: Fluid balance, Nutrition","Chronic Diarrhea -> Physical examination -> General: Fluid balance, Nutrition"
root,"Skin: Flushing, Rashes, Dermatographism","Chronic Diarrhea -> Physical examination -> Skin: Flushing, Rashes, Dermatographism"
root,Thyroid: Mass,Chronic Diarrhea -> Physical examination -> Thyroid: Mass
root,Chest: Wheezing,Chronic Diarrhea -> Physical examination -> Chest: Wheezing
root,Heart: Murmur,Chronic Diarrhea -> Physical examination -> Heart: Murmur
root,"Abdomen: Hepatomegaly, Mass, Ascites, Tenderness","Chronic Diarrhea -> Physical examination -> Abdomen: Hepatomegaly, Mass, Ascites, Tenderness"
root,"Anorectal: Sphincter competence, Fecal occult blood test","Chronic Diarrhea -> Physical examination -> Anorectal: Sphincter competence, Fecal occult blood test"
root,Extremities: Edema,Chronic Diarrhea -> Physical examination -> Extremities: Edema
