source,leaf,paths
Patient for CONTRACEPTION,Male sterilization,Decision tree for contraceptive choice -> Permanent contraceptive methods -> Male sterilization
Patient for CONTRACEPTION,Bilateral tubal ligation (female sterilization),Decision tree for contraceptive choice -> Permanent contraceptive methods -> Bilateral tubal ligation (female sterilization)
Patient for CONTRACEPTION,Vaginal ring,Decision tree for contraceptive choice -> Reversible contraceptive methods -> Contraceptive methods used before intercourse -> Hormonal contraceptive methods -> Vaginal ring
Patient for CONTRACEPTION,Injectable progestin,"Decision tree for contraceptive choice -> Reversible contraceptive methods -> Contraceptive methods used before intercourse -> Hormonal contraceptive methods -> Combination oral contraceptives -> Patient is male, allergic to nonoxynol-9, or with multiple partners -> Long-acting progestin-only methods -> Injectable progestin||Decision tree for contraceptive choice -> Reversible contraceptive methods -> Contraceptive methods used before intercourse -> Hormonal contraceptive methods -> Progestin-only contraceptive methods -> Patient is male, allergic to nonoxynol-9, or with multiple partners -> Long-acting progestin-only methods -> Injectable progestin||Decision tree for contraceptive choice -> Reversible contraceptive methods -> Contraceptive methods used before intercourse -> Intrauterine device -> Patient is male, allergic to nonoxynol-9, or with multiple partners -> Long-acting progestin-only methods -> Injectable progestin||Decision tree for contraceptive choice -> Reversible contraceptive methods -> Contraceptive methods used before intercourse -> Barrier contraceptive methods -> Condom -> Patient is male, allergic to nonoxynol-9, or with multiple partners -> Long-acting progestin-only methods -> Injectable progestin"
Patient for CONTRACEPTION,Implantable progestin (rarely used in the United States),"Decision tree for contraceptive choice -> Reversible contraceptive methods -> Contraceptive methods used before intercourse -> Hormonal contraceptive methods -> Combination oral contraceptives -> Patient is male, allergic to nonoxynol-9, or with multiple partners -> Long-acting progestin-only methods -> Implantable progestin (rarely used in the United States)||Decision tree for contraceptive choice -> Reversible contraceptive methods -> Contraceptive methods used before intercourse -> Hormonal contraceptive methods -> Progestin-only contraceptive methods -> Patient is male, allergic to nonoxynol-9, or with multiple partners -> Long-acting progestin-only methods -> Implantable progestin (rarely used in the United States)||Decision tree for contraceptive choice -> Reversible contraceptive methods -> Contraceptive methods used before intercourse -> Intrauterine device -> Patient is male, allergic to nonoxynol-9, or with multiple partners -> Long-acting progestin-only methods -> Implantable progestin (rarely used in the United States)||Decision tree for contraceptive choice -> Reversible contraceptive methods -> Contraceptive methods used before intercourse -> Barrier contraceptive methods -> Condom -> Patient is male, allergic to nonoxynol-9, or with multiple partners -> Long-acting progestin-only methods -> Implantable progestin (rarely used in the United States)"
Patient for CONTRACEPTION,Diaphragm,Decision tree for contraceptive choice -> Reversible contraceptive methods -> Contraceptive methods used before intercourse -> Barrier contraceptive methods -> Diaphragm
Patient for CONTRACEPTION,Cervical cap,Decision tree for contraceptive choice -> Reversible contraceptive methods -> Contraceptive methods used before intercourse -> Barrier contraceptive methods -> Cervical cap
Patient for CONTRACEPTION,Spermicides,Decision tree for contraceptive choice -> Reversible contraceptive methods -> Contraceptive methods used before intercourse -> Barrier contraceptive methods -> Spermicides
Patient for CONTRACEPTION,Nontechnologic contraceptive methods,Decision tree for contraceptive choice -> Reversible contraceptive methods -> Contraceptive methods used before intercourse -> Nontechnologic contraceptive methods
Patient for CONTRACEPTION,Contraceptive methods used after intercourse,Decision tree for contraceptive choice -> Reversible contraceptive methods -> Contraceptive methods used after intercourse
