source,leaf,paths
Patient with DYSPNEA,often in emergency department,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> Acute dyspnea should be evaluated urgently, often in the emergency department. -> often in emergency department"
Patient with DYSPNEA,Treatment should be guided by the individual diagnosis.,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Nonpulmonary causes -> The most common nonpulmonary causes of dyspnea are cardiac in origin. These include CHF, cardiac ischemia, arrhythmias, and valvular disease. -> These different causes can be better distinguished by ECG, echocardiography, and possible cardiopulmonary exercise testing. -> Abnormal -> Treatment should be guided by the individual diagnosis."
Patient with DYSPNEA,Anemia,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Nonpulmonary causes -> Other nonpulmonary causes include metabolic derangements and anemia. -> Anemia"
Patient with DYSPNEA,Medications,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Nonpulmonary causes -> Other nonpulmonary causes include metabolic derangements and anemia. -> Medications"
Patient with DYSPNEA,Electrolytes,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Nonpulmonary causes -> Other nonpulmonary causes include metabolic derangements and anemia. -> Electrolytes"
Patient with DYSPNEA,DKA,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Nonpulmonary causes -> Other nonpulmonary causes include metabolic derangements and anemia. -> DKA"
Patient with DYSPNEA,Consider cardiopulmonary exercise test,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Nonpulmonary causes -> Other nonpulmonary causes include metabolic derangements and anemia. -> Normal -> Consider cardiopulmonary exercise test||Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Nonpulmonary causes -> Other nonpulmonary causes include ... psychological causes of dyspnea such as anxiety, panic attacks, or depression. -> Normal -> Consider cardiopulmonary exercise test"
Patient with DYSPNEA,Anxiety,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Nonpulmonary causes -> Other nonpulmonary causes include ... psychological causes of dyspnea such as anxiety, panic attacks, or depression. -> Anxiety"
Patient with DYSPNEA,Depression,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Nonpulmonary causes -> Other nonpulmonary causes include ... psychological causes of dyspnea such as anxiety, panic attacks, or depression. -> Depression"
Patient with DYSPNEA,Parenchymal disease,"Patient with DYSPNEA -> The initial assessment of a patient with dyspnea focuses on the history. -> More chronic dyspnea may be evaluated in a stepwise fashion in an outpatient setting. -> Physical examination helps guide further diagnostic studies. -> The first study in the evaluation of dyspnea is often a chest x-ray (CXR). This study can reveal underlying changes consistent with CHF, chronic obstructive pulmonary disease (COPD), or interstitial lung disease. It can also demonstrate pleural effusions, which may have been suspected based on the physical examination, and masses, which may have gone undetected. At the same time, initial studies should include a CBC to assess for anemia as a cause of dyspnea. -> Pulmonary causes -> In a patient with presumed pulmonary disease and normal CXR, the next step is often pulmonary function testing (PFT). -> Initial spirometry can guide further studies, diagnose obstruction (FEV1/FVC <70%), and suggest restrictive physiology. Lung volumes will diagnose restriction, and additional PFT can help distinguish between interstitial lung disease, neuromuscular weakness, and results in disorders of the chest wall. -> Restrictive -> Parenchymal disease"
