source,leaf,paths
Edema,Drug-induced edema,Patient with EDEMA -> Generalized edema -> JVP normal -> Check serum albumin -> Normal serum albumin -> Check urine protein -> Normal urinalysis -> Check TFTs -> Normal TFTs -> Drug-induced edema||Patient with EDEMA -> Generalized edema -> JVP normal -> Check serum albumin -> Decreased serum albumin -> Normal urinalysis -> Check TFTs -> Normal TFTs -> Drug-induced edema
Edema,Idiopathic edema,Patient with EDEMA -> Generalized edema -> JVP normal -> Check serum albumin -> Normal serum albumin -> Check urine protein -> Normal urinalysis -> Check TFTs -> Decreased TFTs -> Idiopathic edema||Patient with EDEMA -> Generalized edema -> JVP normal -> Check serum albumin -> Decreased serum albumin -> Normal urinalysis -> Check TFTs -> Decreased TFTs -> Idiopathic edema
Edema,Evaluate for renal pathology,Patient with EDEMA -> Generalized edema -> JVP normal -> Check serum albumin -> Normal serum albumin -> Check urine protein -> Abnormal urine sediment -> Check BUN/creatinine -> Evaluate for renal pathology
Edema,Nephrotic syndrome,Patient with EDEMA -> Generalized edema -> JVP normal -> Check serum albumin -> Decreased serum albumin -> Proteinuria -> Check 24-hr urine protein -> >3.5 g protein -> Nephrotic syndrome
Edema,Evaluate for liver pathology,Patient with EDEMA -> Generalized edema -> JVP normal -> Check serum albumin -> Decreased serum albumin -> Proteinuria -> Check 24-hr urine protein -> <3.5 g protein -> Check LFTs -> Abnormal LFTs -> Evaluate for liver pathology
Edema,Malnutrition,Patient with EDEMA -> Generalized edema -> JVP normal -> Check serum albumin -> Decreased serum albumin -> Proteinuria -> Check 24-hr urine protein -> <3.5 g protein -> Check LFTs -> Normal LFTs -> Check prealbumin and cholesterol -> Decreased cholesterol Prealbumin <20 mg/dl -> Malnutrition
Edema,Capillary leak,Patient with EDEMA -> Generalized edema -> JVP normal -> Check serum albumin -> Decreased serum albumin -> Proteinuria -> Check 24-hr urine protein -> <3.5 g protein -> Check LFTs -> Normal LFTs -> Check prealbumin and cholesterol -> Normal cholesterol Prealbumin >20 mg/dl -> Capillary leak
Edema,Abnormal protein synthesis,Patient with EDEMA -> Generalized edema -> JVP normal -> Check serum albumin -> Decreased serum albumin -> Proteinuria -> Check 24-hr urine protein -> <3.5 g protein -> Check LFTs -> Normal LFTs -> Check prealbumin and cholesterol -> Normal cholesterol Prealbumin >20 mg/dl -> Abnormal protein synthesis
Edema,Protein-losing enteropathy,Patient with EDEMA -> Generalized edema -> JVP normal -> Check serum albumin -> Decreased serum albumin -> Proteinuria -> Check 24-hr urine protein -> <3.5 g protein -> Check LFTs -> Normal LFTs -> Check prealbumin and cholesterol -> Normal cholesterol Prealbumin >20 mg/dl -> Protein-losing enteropathy
Edema,Pericardial effusion,Patient with EDEMA -> Generalized edema -> JVP elevated -> Chest radiography -> Cardiomegaly -> Check echocardiogram -> Pericardial effusion
Edema,CHF,Patient with EDEMA -> Generalized edema -> JVP elevated -> Chest radiography -> Cardiomegaly -> Check echocardiogram -> Poor contractibility -> CHF
Edema,Pericarditis/tamponade,Patient with EDEMA -> Generalized edema -> JVP elevated -> Chest radiography -> Cardiomegaly -> Check echocardiogram -> Pericarditis/tamponade
Edema,Evaluate for cor pulmonale,Patient with EDEMA -> Generalized edema -> JVP elevated -> Chest radiography -> Normal heart size -> Evaluate lung fields -> Pulmonary hypertension pattern -> Evaluate for cor pulmonale
Edema,Evaluate for pericardial constriction,Patient with EDEMA -> Generalized edema -> JVP elevated -> Chest radiography -> Normal heart size -> Evaluate lung fields -> Clear lung fields -> Evaluate for pericardial constriction
Edema,Lymphatic obstruction,Patient with EDEMA -> Regional edema -> Upper extremity -> JVP normal -> Noninvasive Vascular Studies or Venography -> Negative study -> Lymphatic obstruction||Patient with EDEMA -> Regional edema -> Upper extremity -> JVP normal -> Noninvasive Vascular Studies or Venography -> Positive study -> Venography -> Negative study -> Lymphatic obstruction||Patient with EDEMA -> Regional edema -> Lower extremity -> Negative history -> Doppler study -> Negative study -> Lymphatic obstruction||Patient with EDEMA -> Regional edema -> Lower extremity -> Negative history -> Doppler study -> Positive study -> Venography -> Negative study -> Lymphatic obstruction||Patient with EDEMA -> Regional edema -> Lower extremity -> Positive history -> Noninvasive Vascular Studies or Venography -> Negative study -> Lymphatic obstruction||Patient with EDEMA -> Regional edema -> Lower extremity -> Positive history -> Noninvasive Vascular Studies or Venography -> Positive study -> Venography -> Negative study -> Lymphatic obstruction
Edema,Venous obstruction,Patient with EDEMA -> Regional edema -> Upper extremity -> JVP normal -> Noninvasive Vascular Studies or Venography -> Positive study -> Venous obstruction||Patient with EDEMA -> Regional edema -> Lower extremity -> Negative history -> Doppler study -> Positive study -> Venous obstruction||Patient with EDEMA -> Regional edema -> Lower extremity -> Positive history -> Noninvasive Vascular Studies or Venography -> Positive study -> Venous obstruction
Edema,Superior vena cava syndrome,"Patient with EDEMA -> Regional edema -> Upper extremity -> JVP elevated -> Chest radiograph, CT scan, or MRI -> Superior vena cava syndrome"
