source,leaf,paths
Root,"Ovary, Prostate, Lung","Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> Abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Acute pancreatitis -> Ovary, Prostate, Lung||Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> Abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Acute pancreatitis -> Persistent amylase elevation -> Ovary, Prostate, Lung||Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> Abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Nonpancreatic intraabdominal condition -> Ovary, Prostate, Lung||Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> Abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Obscure causes -> Lung disease -> Ovary, Prostate, Lung||Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> Abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Obscure causes -> Malignant tumors -> Ovary, Prostate, Lung||Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> No abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Acute pancreatitis -> Ovary, Prostate, Lung||Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> No abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Acute pancreatitis -> Persistent amylase elevation -> Ovary, Prostate, Lung||Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> No abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Nonpancreatic intraabdominal condition -> Ovary, Prostate, Lung||Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> No abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Obscure causes -> Lung disease -> Ovary, Prostate, Lung||Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> No abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Obscure causes -> Malignant tumors -> Ovary, Prostate, Lung"
Root,"Abdominal Ultrasonography, Abdominal CT Scan, MRI of Pancreas with MRCP, EUS, ERCP","Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> Abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Acute pancreatitis -> Persistent amylase elevation -> Abdominal Ultrasonography, Abdominal CT Scan, MRI of Pancreas with MRCP, EUS, ERCP||Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> No abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Acute pancreatitis -> Persistent amylase elevation -> Abdominal Ultrasonography, Abdominal CT Scan, MRI of Pancreas with MRCP, EUS, ERCP"
Root,Acute exacerbation of chronic pancreatitis,"Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> Abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Acute exacerbation of chronic pancreatitis||Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> No abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Acute exacerbation of chronic pancreatitis"
Root,Acute or chronic pancreatitis,"Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> Abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Nonpancreatic intraabdominal condition -> Acute or chronic pancreatitis||Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> No abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Nonpancreatic intraabdominal condition -> Acute or chronic pancreatitis"
Root,Renal insufficiency,"Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> Abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Identified cause -> Renal insufficiency||Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> No abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Identified cause -> Renal insufficiency"
Root,Macroamylasemia,"Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> Abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Identified cause -> Macroamylasemia||Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> No abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Identified cause -> Macroamylasemia"
Root,"Salivary gland disease: Trauma, Infection (mumps), Calculus, Radiation, Alcohol","Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> Abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Identified cause -> Salivary gland disease: Trauma, Infection (mumps), Calculus, Radiation, Alcohol||Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> No abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Identified cause -> Salivary gland disease: Trauma, Infection (mumps), Calculus, Radiation, Alcohol"
Root,Salivary-type hyperamylasemia,"Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> Abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Obscure causes -> Salivary-type hyperamylasemia||Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> No abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Obscure causes -> Salivary-type hyperamylasemia"
Root,"Other considerations: Cerebral trauma, Burns and traumatic shock, Diabetic ketoacidosis, Anorexia nervosa, Celiac sprue","Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> Abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Obscure causes -> Other considerations: Cerebral trauma, Burns and traumatic shock, Diabetic ketoacidosis, Anorexia nervosa, Celiac sprue||Patient with ELEVATED SERUM AMYLASE -> History and Physical examination -> No abdominal pain -> Serum creatinine, Urine creatinine, Urine amylase, Isoamylase measurements -> Obscure causes -> Other considerations: Cerebral trauma, Burns and traumatic shock, Diabetic ketoacidosis, Anorexia nervosa, Celiac sprue"
Root,Treat diagnosed condition,Patient with ELEVATED SERUM AMYLASE -> Treat diagnosed condition
