source,leaf,paths
Patient with FATIGUE,Fatigue resolved,"History, including careful description of fatigue. Physical examination -> Evidence of physiologic fatigue -> Treat Underlying Cause of Persistent Fatigue -> Fatigue resolved||History, including careful description of fatigue. Physical examination -> Chronic medical disease or exposure identified -> Treat Underlying Cause of Persistent Fatigue -> Fatigue resolved"
Patient with FATIGUE,Fatigue persists,"History, including careful description of fatigue. Physical examination -> Evidence of physiologic fatigue -> Treat Underlying Cause of Persistent Fatigue -> Fatigue persists||History, including careful description of fatigue. Physical examination -> Chronic medical disease or exposure identified -> Treat Underlying Cause of Persistent Fatigue -> Fatigue persists"
Patient with FATIGUE,Disease-Specific Testing and Treatment,"History, including careful description of fatigue. Physical examination -> Risk factor for sexually transmitted or bloodborne disease -> Testing for HIV, syphilis, and hepatitis B and C -> Treat Abnormal Results -> Disease-Specific Testing and Treatment||History, including careful description of fatigue. Physical examination -> Geographic risk factors -> Test for Lyme disease or coccidioidomycosis -> Treat Abnormal Results -> Disease-Specific Testing and Treatment"
Patient with FATIGUE,Evaluate for specific illness,"History, including careful description of fatigue. Physical examination -> Findings consistent with fibromyalgia -> CPK, CRP, ANA, RF -> Abnormal results -> Evaluate for specific illness"
Patient with FATIGUE,Refer for sleep disorders evaluation,"History, including careful description of fatigue. Physical examination -> No specific medical illness identified -> Daytime hypersomnolence, snoring, or other symptoms of sleep apnea -> Refer for sleep disorders evaluation"
Patient with FATIGUE,Abnormal results: evaluate and treat,"History, including careful description of fatigue. Physical examination -> Geographic risk factors -> Test for Lyme disease or coccidioidomycosis -> Normal results -> CBC, thyroid-stimulating hormone, electrolytes, creatinine, liver enzymes, ESR -> Abnormal results: evaluate and treat||History, including careful description of fatigue. Physical examination -> Findings consistent with fibromyalgia -> CPK, CRP, ANA, RF -> Normal results -> CBC, thyroid-stimulating hormone, electrolytes, creatinine, liver enzymes, ESR -> Abnormal results: evaluate and treat||History, including careful description of fatigue. Physical examination -> No specific medical illness identified -> CBC, thyroid-stimulating hormone, electrolytes, creatinine, liver enzymes, ESR -> Abnormal results: evaluate and treat"
Patient with FATIGUE,Fatigue either resolved or appropriate to degree of abnormality,"History, including careful description of fatigue. Physical examination -> Geographic risk factors -> Test for Lyme disease or coccidioidomycosis -> Normal results -> Fatigue either resolved or appropriate to degree of abnormality||History, including careful description of fatigue. Physical examination -> Findings consistent with fibromyalgia -> CPK, CRP, ANA, RF -> Normal results -> Fatigue either resolved or appropriate to degree of abnormality||History, including careful description of fatigue. Physical examination -> No specific medical illness identified -> CBC, thyroid-stimulating hormone, electrolytes, creatinine, liver enzymes, ESR -> Normal results -> Fatigue either resolved or appropriate to degree of abnormality"
Patient with FATIGUE,Treat or refer,"History, including careful description of fatigue. Physical examination -> Geographic risk factors -> Test for Lyme disease or coccidioidomycosis -> Normal results -> Fatigue greater than appropriate for disease -> Persistent fatigue, no medical cause found -> Psychosocial assessment -> Psychiatric diagnosis identified: depression, anxiety disorder, somatoform disorder, other -> Treat or refer||History, including careful description of fatigue. Physical examination -> Findings consistent with fibromyalgia -> CPK, CRP, ANA, RF -> Normal results -> Fatigue greater than appropriate for disease -> Persistent fatigue, no medical cause found -> Psychosocial assessment -> Psychiatric diagnosis identified: depression, anxiety disorder, somatoform disorder, other -> Treat or refer||History, including careful description of fatigue. Physical examination -> No specific medical illness identified -> CBC, thyroid-stimulating hormone, electrolytes, creatinine, liver enzymes, ESR -> Normal results -> Fatigue greater than appropriate for disease -> Persistent fatigue, no medical cause found -> Psychosocial assessment -> Psychiatric diagnosis identified: depression, anxiety disorder, somatoform disorder, other -> Treat or refer"
Patient with FATIGUE,"Symptomatic treatment: reorganize schedule, graduated activity/exercise to minimize deconditioning; consider referral to cognitive therapy","History, including careful description of fatigue. Physical examination -> Geographic risk factors -> Test for Lyme disease or coccidioidomycosis -> Normal results -> Fatigue greater than appropriate for disease -> Persistent fatigue, no medical cause found -> Psychosocial assessment -> No specific psychiatric diagnosis identified -> Symptomatic treatment: reorganize schedule, graduated activity/exercise to minimize deconditioning; consider referral to cognitive therapy||History, including careful description of fatigue. Physical examination -> Findings consistent with fibromyalgia -> CPK, CRP, ANA, RF -> Normal results -> Fatigue greater than appropriate for disease -> Persistent fatigue, no medical cause found -> Psychosocial assessment -> No specific psychiatric diagnosis identified -> Symptomatic treatment: reorganize schedule, graduated activity/exercise to minimize deconditioning; consider referral to cognitive therapy||History, including careful description of fatigue. Physical examination -> No specific medical illness identified -> CBC, thyroid-stimulating hormone, electrolytes, creatinine, liver enzymes, ESR -> Normal results -> Fatigue greater than appropriate for disease -> Persistent fatigue, no medical cause found -> Psychosocial assessment -> No specific psychiatric diagnosis identified -> Symptomatic treatment: reorganize schedule, graduated activity/exercise to minimize deconditioning; consider referral to cognitive therapy"
Patient with FATIGUE,Referral/treatment,"History, including careful description of fatigue. Physical examination -> Geographic risk factors -> Test for Lyme disease or coccidioidomycosis -> Normal results -> Fatigue greater than appropriate for disease -> Persistent fatigue, no medical cause found -> Psychosocial assessment -> Social/situational problem identified -> Referral/treatment||History, including careful description of fatigue. Physical examination -> Findings consistent with fibromyalgia -> CPK, CRP, ANA, RF -> Normal results -> Fatigue greater than appropriate for disease -> Persistent fatigue, no medical cause found -> Psychosocial assessment -> Social/situational problem identified -> Referral/treatment||History, including careful description of fatigue. Physical examination -> No specific medical illness identified -> CBC, thyroid-stimulating hormone, electrolytes, creatinine, liver enzymes, ESR -> Normal results -> Fatigue greater than appropriate for disease -> Persistent fatigue, no medical cause found -> Psychosocial assessment -> Social/situational problem identified -> Referral/treatment"
