source,leaf,paths
Root,Testicular germ cell tumor,"Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased hCG -> Testicular ultrasonography -> Mass found -> Testicular germ cell tumor||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased hCG -> Testicular ultrasonography -> Normal -> Adrenal CT or MRI -> Mass found -> Testicular germ cell tumor||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Decreased or normal LH, decreased T -> Measure serum prolactin -> Normal -> Adrenal CT or MRI -> Mass found -> Testicular germ cell tumor||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased LH, increased T -> Measure thyroxine, TSH -> Normal -> Adrenal CT or MRI -> Mass found -> Testicular germ cell tumor||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased E2, decreased or normal LH -> Testicular ultrasonography -> Mass found -> Testicular germ cell tumor||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased E2, decreased or normal LH -> Testicular ultrasonography -> Normal -> Adrenal CT or MRI -> Mass found -> Testicular germ cell tumor||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Normal -> Adrenal CT or MRI -> Mass found -> Testicular germ cell tumor"
Root,Perform Chest film and Abdominal CT,"Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased hCG -> Testicular ultrasonography -> Normal -> Extragonadal germ cell tumor -> Perform Chest film and Abdominal CT||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Decreased or normal LH, decreased T -> Measure serum prolactin -> Normal -> Extragonadal germ cell tumor -> Perform Chest film and Abdominal CT||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased LH, increased T -> Measure thyroxine, TSH -> Normal -> Extragonadal germ cell tumor -> Perform Chest film and Abdominal CT||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased E2, decreased or normal LH -> Testicular ultrasonography -> Normal -> Extragonadal germ cell tumor -> Perform Chest film and Abdominal CT||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Normal -> Extragonadal germ cell tumor -> Perform Chest film and Abdominal CT"
Root,hCG-secreting nontrophoblastic neoplasm,"Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased hCG -> Testicular ultrasonography -> Normal -> hCG-secreting nontrophoblastic neoplasm||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Decreased or normal LH, decreased T -> Measure serum prolactin -> Normal -> hCG-secreting nontrophoblastic neoplasm||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased LH, increased T -> Measure thyroxine, TSH -> Normal -> hCG-secreting nontrophoblastic neoplasm||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased E2, decreased or normal LH -> Testicular ultrasonography -> Normal -> hCG-secreting nontrophoblastic neoplasm||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Normal -> hCG-secreting nontrophoblastic neoplasm"
Root,Primary hypogonadism,"Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased LH, decreased T -> Primary hypogonadism"
Root,Probable prolactin-secreting pituitary tumor,"Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Decreased or normal LH, decreased T -> Measure serum prolactin -> Elevated prolactin -> Probable prolactin-secreting pituitary tumor"
Root,Secondary hypogonadism,"Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased hCG -> Testicular ultrasonography -> Normal -> Secondary hypogonadism||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Decreased or normal LH, decreased T -> Measure serum prolactin -> Normal -> Secondary hypogonadism||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased LH, increased T -> Measure thyroxine, TSH -> Normal -> Secondary hypogonadism||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased E2, decreased or normal LH -> Testicular ultrasonography -> Normal -> Secondary hypogonadism||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Normal -> Secondary hypogonadism"
Root,Hyperthyroidism,"Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased LH, increased T -> Measure thyroxine, TSH -> Increased Thyroxine, decreased TSH -> Hyperthyroidism"
Root,Androgen resistance,"Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased hCG -> Testicular ultrasonography -> Normal -> Androgen resistance||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Decreased or normal LH, decreased T -> Measure serum prolactin -> Normal -> Androgen resistance||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased LH, increased T -> Measure thyroxine, TSH -> Normal -> Androgen resistance||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased E2, decreased or normal LH -> Testicular ultrasonography -> Normal -> Androgen resistance||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Normal -> Androgen resistance"
Root,Leydig or Sertoli cell tumor,"Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased hCG -> Testicular ultrasonography -> Mass found -> Leydig or Sertoli cell tumor||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased hCG -> Testicular ultrasonography -> Normal -> Adrenal CT or MRI -> Mass found -> Leydig or Sertoli cell tumor||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Decreased or normal LH, decreased T -> Measure serum prolactin -> Normal -> Adrenal CT or MRI -> Mass found -> Leydig or Sertoli cell tumor||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased LH, increased T -> Measure thyroxine, TSH -> Normal -> Adrenal CT or MRI -> Mass found -> Leydig or Sertoli cell tumor||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased E2, decreased or normal LH -> Testicular ultrasonography -> Mass found -> Leydig or Sertoli cell tumor||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased E2, decreased or normal LH -> Testicular ultrasonography -> Normal -> Adrenal CT or MRI -> Mass found -> Leydig or Sertoli cell tumor||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Normal -> Adrenal CT or MRI -> Mass found -> Leydig or Sertoli cell tumor"
Root,Adrenal neoplasm,"Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased hCG -> Testicular ultrasonography -> Mass found -> Adrenal neoplasm||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased hCG -> Testicular ultrasonography -> Normal -> Adrenal CT or MRI -> Mass found -> Adrenal neoplasm||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Decreased or normal LH, decreased T -> Measure serum prolactin -> Normal -> Adrenal CT or MRI -> Mass found -> Adrenal neoplasm||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased LH, increased T -> Measure thyroxine, TSH -> Normal -> Adrenal CT or MRI -> Mass found -> Adrenal neoplasm||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased E2, decreased or normal LH -> Testicular ultrasonography -> Mass found -> Adrenal neoplasm||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Increased E2, decreased or normal LH -> Testicular ultrasonography -> Normal -> Adrenal CT or MRI -> Mass found -> Adrenal neoplasm||Male Patient with GYNECOMASTIA -> Etiology -> Measure serum hCG, LH, T, E2 -> Normal -> Adrenal CT or MRI -> Mass found -> Adrenal neoplasm"
