source,leaf,paths
Hypophosphatemia,Oral therapy,Patient with Hypophosphatemia (<2.5 mg/dl) -> 1.5 mg/dl-2.5 mg/dl -> No symptoms -> Oral therapy
Hypophosphatemia,IV therapy,Patient with Hypophosphatemia (<2.5 mg/dl) -> 1.5 mg/dl-2.5 mg/dl -> No symptoms and failure of oral therapy -> IV therapy||Patient with Hypophosphatemia (<2.5 mg/dl) -> 1.5 mg/dl-2.5 mg/dl -> Symptoms -> IV therapy||Patient with Hypophosphatemia (<2.5 mg/dl) -> <1.5 mg/dl -> ± symptoms -> IV therapy
Hypophosphatemia,Consider: Renal tubular disease,Patient with Hypophosphatemia (<2.5 mg/dl) -> Identify and treat underlying cause -> Increased losses -> Acquired -> Consider: Renal tubular disease
Hypophosphatemia,Consider: Hyperparathyroidism,Patient with Hypophosphatemia (<2.5 mg/dl) -> Identify and treat underlying cause -> Increased losses -> Acquired -> Consider: Hyperparathyroidism
Hypophosphatemia,Consider: Vitamin D deficiency,Patient with Hypophosphatemia (<2.5 mg/dl) -> Identify and treat underlying cause -> Increased losses -> Acquired -> Consider: Vitamin D deficiency
Hypophosphatemia,Consider: Fanconi's,Patient with Hypophosphatemia (<2.5 mg/dl) -> Identify and treat underlying cause -> Increased losses -> Hereditary -> Consider: Fanconi's
Hypophosphatemia,Consider: Distal RTA,Patient with Hypophosphatemia (<2.5 mg/dl) -> Identify and treat underlying cause -> Increased losses -> Hereditary -> Consider: Distal RTA
Hypophosphatemia,Consider: X-chromosome-linked hypophosphatemia,Patient with Hypophosphatemia (<2.5 mg/dl) -> Identify and treat underlying cause -> Increased losses -> Hereditary -> Consider: X-chromosome-linked hypophosphatemia
Hypophosphatemia,Consider: Autosomal dominant hypophosphatemic rickets,Patient with Hypophosphatemia (<2.5 mg/dl) -> Identify and treat underlying cause -> Increased losses -> Hereditary -> Consider: Autosomal dominant hypophosphatemic rickets
Hypophosphatemia,Consider: Starvation,Patient with Hypophosphatemia (<2.5 mg/dl) -> Identify and treat underlying cause -> Decreased intake -> Consider: Starvation
Hypophosphatemia,Consider: Malabsorption,Patient with Hypophosphatemia (<2.5 mg/dl) -> Identify and treat underlying cause -> Decreased intake -> Consider: Malabsorption
Hypophosphatemia,Consider: Antacids,Patient with Hypophosphatemia (<2.5 mg/dl) -> Identify and treat underlying cause -> Decreased intake -> Consider: Antacids
Hypophosphatemia,Consider: Poor nutrition,Patient with Hypophosphatemia (<2.5 mg/dl) -> Identify and treat underlying cause -> Decreased intake -> Consider: Poor nutrition
Hypophosphatemia,Consider: Hungry bone syndrome,Patient with Hypophosphatemia (<2.5 mg/dl) -> Identify and treat underlying cause -> Cellular shifts -> Consider: Hungry bone syndrome
Hypophosphatemia,Consider: Refeeding syndrome,Patient with Hypophosphatemia (<2.5 mg/dl) -> Identify and treat underlying cause -> Cellular shifts -> Consider: Refeeding syndrome
Hypophosphatemia,Consider: Increased cellular metabolism,Patient with Hypophosphatemia (<2.5 mg/dl) -> Identify and treat underlying cause -> Cellular shifts -> Consider: Increased cellular metabolism
