source,leaf,paths
root,"Treat Acute Infection: Cultures, Broad-Spectrum Antibiotics","Patient with LEUKOPENIA (<3700 WBC/mm³) -> History and Physical examination, Laboratory tests: WBC count, Differential diagnosis, Hemoglobin, Hematocrit, RBC indices, Blood smear -> Treat Acute Infection: Cultures, Broad-Spectrum Antibiotics"
root,Splenomegaly,"Patient with LEUKOPENIA (<3700 WBC/mm³) -> History and Physical examination, Laboratory tests: WBC count, Differential diagnosis, Hemoglobin, Hematocrit, RBC indices, Blood smear -> Isolated neutropenia -> Consider: Drugs, Autoimmune disorder, Splenomegaly -> Stop drugs -> Observe -> No response -> Bone Marrow Biopsy and Aspirate -> Normal -> Physical examination, Liver/spleen scan -> Splenomegaly"
root,"Observe with frequent CBC, differential, platelet count","Patient with LEUKOPENIA (<3700 WBC/mm³) -> History and Physical examination, Laboratory tests: WBC count, Differential diagnosis, Hemoglobin, Hematocrit, RBC indices, Blood smear -> Isolated neutropenia -> Consider: Drugs, Autoimmune disorder, Splenomegaly -> Stop drugs -> Observe -> No response -> Bone Marrow Biopsy and Aspirate -> Normal -> Physical examination, Liver/spleen scan -> No splenomegaly -> Consider: Chronic idiopathic neutropenia, Cyclic neutropenia -> Observe with frequent CBC, differential, platelet count"
root,"Autoimmune workup: ANA, rheumatoid factor, Antineutrophil antibodies","Patient with LEUKOPENIA (<3700 WBC/mm³) -> History and Physical examination, Laboratory tests: WBC count, Differential diagnosis, Hemoglobin, Hematocrit, RBC indices, Blood smear -> Isolated neutropenia -> Consider: Drugs, Autoimmune disorder, Splenomegaly -> Stop drugs -> Observe -> No response -> Bone Marrow Biopsy and Aspirate -> Decreased or absent mature granulocytes -> Autoimmune workup: ANA, rheumatoid factor, Antineutrophil antibodies"
root,No drugs,"Patient with LEUKOPENIA (<3700 WBC/mm³) -> History and Physical examination, Laboratory tests: WBC count, Differential diagnosis, Hemoglobin, Hematocrit, RBC indices, Blood smear -> Isolated neutropenia -> Consider: Drugs, Autoimmune disorder, Splenomegaly -> No drugs"
root,Nondiagnostic,"Patient with LEUKOPENIA (<3700 WBC/mm³) -> History and Physical examination, Laboratory tests: WBC count, Differential diagnosis, Hemoglobin, Hematocrit, RBC indices, Blood smear -> Neutropenia with thrombocytopenia or anemia -> Consider: Drugs, Primary hematologic disorders, Autoimmune disease, Infection -> Stop drugs -> Observe -> No response -> Bone Marrow Biopsy and Aspirate -> Nondiagnostic"
root,"Leukemia, Myelodysplasia","Patient with LEUKOPENIA (<3700 WBC/mm³) -> History and Physical examination, Laboratory tests: WBC count, Differential diagnosis, Hemoglobin, Hematocrit, RBC indices, Blood smear -> Neutropenia with thrombocytopenia or anemia -> Consider: Drugs, Primary hematologic disorders, Autoimmune disease, Infection -> Stop drugs -> Observe -> No response -> Bone Marrow Biopsy and Aspirate -> Leukemia, Myelodysplasia"
root,Aplastic anemia,"Patient with LEUKOPENIA (<3700 WBC/mm³) -> History and Physical examination, Laboratory tests: WBC count, Differential diagnosis, Hemoglobin, Hematocrit, RBC indices, Blood smear -> Neutropenia with thrombocytopenia or anemia -> Consider: Drugs, Primary hematologic disorders, Autoimmune disease, Infection -> Stop drugs -> Observe -> No response -> Bone Marrow Biopsy and Aspirate -> Aplastic anemia"
root,"Vitamin B12, Folate replacement","Patient with LEUKOPENIA (<3700 WBC/mm³) -> History and Physical examination, Laboratory tests: WBC count, Differential diagnosis, Hemoglobin, Hematocrit, RBC indices, Blood smear -> Neutropenia with thrombocytopenia or anemia -> Consider: Drugs, Primary hematologic disorders, Autoimmune disease, Infection -> Stop drugs -> Observe -> No response -> Bone Marrow Biopsy and Aspirate -> Megaloblastic anemia -> Vitamin B12, Folate replacement"
root,Myelofibrosis,"Patient with LEUKOPENIA (<3700 WBC/mm³) -> History and Physical examination, Laboratory tests: WBC count, Differential diagnosis, Hemoglobin, Hematocrit, RBC indices, Blood smear -> Neutropenia with thrombocytopenia or anemia -> Consider: Drugs, Primary hematologic disorders, Autoimmune disease, Infection -> Stop drugs -> Observe -> No response -> Bone Marrow Biopsy and Aspirate -> Myelofibrosis"
root,Appropriate Therapy,"Patient with LEUKOPENIA (<3700 WBC/mm³) -> History and Physical examination, Laboratory tests: WBC count, Differential diagnosis, Hemoglobin, Hematocrit, RBC indices, Blood smear -> Neutropenia with thrombocytopenia or anemia -> Consider: Drugs, Primary hematologic disorders, Autoimmune disease, Infection -> No drugs -> Infection workup: Bacterial cultures, Viral cultures and serologies, Fungal, Mycobacterium cultures -> Appropriate Therapy"
root,"Consider: Drugs (e.g., steroids), Infection (e.g., viral), Radiation, Renal failure","Patient with LEUKOPENIA (<3700 WBC/mm³) -> History and Physical examination, Laboratory tests: WBC count, Differential diagnosis, Hemoglobin, Hematocrit, RBC indices, Blood smear -> Isolated lymphopenia -> Consider: Drugs (e.g., steroids), Infection (e.g., viral), Radiation, Renal failure"
