source,leaf,paths
root,Transudate. CHF. Nephrotic syndrome. Cirrhosis. PE,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Transudate. CHF. Nephrotic syndrome. Cirrhosis. PE
root,"Examine for color and odor. Bloody-PE, trauma, malignancy. Putrid- anaerobic infection. Milky- chylothorax","Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Examine for color and odor. Bloody-PE, trauma, malignancy. Putrid- anaerobic infection. Milky- chylothorax"
root,pH <7.20mg/dl or glucose <60. Empyema. Complicated para-pneumonic effusion. Rheumatoid arthritis. Tuberculosis. Systemic lupus erythematosus. Malignancy,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> pH <7.20mg/dl or glucose <60. Empyema. Complicated para-pneumonic effusion. Rheumatoid arthritis. Tuberculosis. Systemic lupus erythematosus. Malignancy
root,Gram stain and culture,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Concern for infection -> Gram stain and culture
root,Empyema,"Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Cell count and differential -> Total cell count -> >50,000 -> Empyema"
root,Chronic exudate,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Cell count and differential -> Total cell count -> <5000 -> Chronic exudate
root,Lymphocytes 85%-95%. Tuberculosis. Lymphoma. Sarcoid. Rheumatoid arthritis. Chylothorax,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Cell count and differential -> Lymphocytes 85%-95%. Tuberculosis. Lymphoma. Sarcoid. Rheumatoid arthritis. Chylothorax
root,Eosinophils >10%. Pneumothorax. Hemothorax. Pulmonary infarction. Asbestosis. Parasitic disease. Fungal infection. Drugs. Malignancy. Churg-Strauss syndrome,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Cell count and differential -> Eosinophils >10%. Pneumothorax. Hemothorax. Pulmonary infarction. Asbestosis. Parasitic disease. Fungal infection. Drugs. Malignancy. Churg-Strauss syndrome
root,HCT >50% peripheral HCT. Hemothorax,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Cell count and differential -> HCT >50% peripheral HCT. Hemothorax
root,Mononuclear cell predominant. Viral infection. Chronic causes,Patient with PLEURAL EFFUSION -> History -> Physical examination -> Imaging. PA and lateral CXR. Consider decubitis film. Consider ultrasound -> Suspect CHF or viral pleurisy -> No or atypical progression -> Thoracentesis -> Light's criteria. TPf/TPs >0.5. LDHf/LDHs >0.6. LDHpf >2/3 upper limit of normal -> Exudate -> Cell count and differential -> Mononuclear cell predominant. Viral infection. Chronic causes
