source,leaf,paths
Patient with HEPATITIS EXPOSURE,Test for Hepatitis B surface antigen and hepatitis C antibody,Decision tree for managing hepatitis exposure -> Baseline testing -> Conduct laboratory tests for the source patient -> Test for Hepatitis B surface antigen and hepatitis C antibody
Patient with HEPATITIS EXPOSURE,"Test for Hepatitis B core and surface antibody, surface antigen, and hepatitis C antibody. If source is high risk or known to be hepatitis C positive, consider hepatitis C RNA and ALT in exposed individual","Decision tree for managing hepatitis exposure -> Baseline testing -> Conduct laboratory tests for the exposed patient -> Test for Hepatitis B core and surface antibody, surface antigen, and hepatitis C antibody. If source is high risk or known to be hepatitis C positive, consider hepatitis C RNA and ALT in exposed individual"
Patient with HEPATITIS EXPOSURE,Any percutaneous exposure,Decision tree for managing hepatitis exposure -> Risk stratification -> Categorize the event as high-risk -> Assess Hepatitis B risk -> Any percutaneous exposure||Decision tree for managing hepatitis exposure -> Risk stratification -> Categorize the event as high-risk -> Assess Hepatitis C risk -> Any percutaneous exposure||Decision tree for managing hepatitis exposure -> Risk stratification -> Categorize the event as low-risk -> Assess Hepatitis B risk -> Any percutaneous exposure||Decision tree for managing hepatitis exposure -> Risk stratification -> Categorize the event as low-risk -> Assess Hepatitis C risk -> Any percutaneous exposure
Patient with HEPATITIS EXPOSURE,any mucous membrane or nonintact skin exposure to blood or high-risk body fluid,Decision tree for managing hepatitis exposure -> Risk stratification -> Categorize the event as high-risk -> Assess Hepatitis B risk -> any mucous membrane or nonintact skin exposure to blood or high-risk body fluid||Decision tree for managing hepatitis exposure -> Risk stratification -> Categorize the event as low-risk -> Assess Hepatitis B risk -> any mucous membrane or nonintact skin exposure to blood or high-risk body fluid
Patient with HEPATITIS EXPOSURE,Any of the above when source known to be hepatitis positive or from high-risk group,Decision tree for managing hepatitis exposure -> Risk stratification -> Categorize the event as high-risk -> Assess Hepatitis B risk -> Any of the above when source known to be hepatitis positive or from high-risk group||Decision tree for managing hepatitis exposure -> Risk stratification -> Categorize the event as high-risk -> Assess Hepatitis C risk -> Any of the above when source known to be hepatitis positive or from high-risk group||Decision tree for managing hepatitis exposure -> Risk stratification -> Categorize the event as low-risk -> Assess Hepatitis B risk -> Any of the above when source known to be hepatitis positive or from high-risk group||Decision tree for managing hepatitis exposure -> Risk stratification -> Categorize the event as low-risk -> Assess Hepatitis C risk -> Any of the above when source known to be hepatitis positive or from high-risk group
Patient with HEPATITIS EXPOSURE,any mucous membrane or nonintact skin exposure with blood-containing body fluid,Decision tree for managing hepatitis exposure -> Risk stratification -> Categorize the event as high-risk -> Assess Hepatitis C risk -> any mucous membrane or nonintact skin exposure with blood-containing body fluid||Decision tree for managing hepatitis exposure -> Risk stratification -> Categorize the event as low-risk -> Assess Hepatitis C risk -> any mucous membrane or nonintact skin exposure with blood-containing body fluid
Patient with HEPATITIS EXPOSURE,Intact skin exposure to blood or body fluid,Decision tree for managing hepatitis exposure -> Risk stratification -> Categorize the event as high-risk -> Assess Hepatitis B risk -> Intact skin exposure to blood or body fluid||Decision tree for managing hepatitis exposure -> Risk stratification -> Categorize the event as high-risk -> Assess Hepatitis C risk -> Intact skin exposure to blood or body fluid||Decision tree for managing hepatitis exposure -> Risk stratification -> Categorize the event as low-risk -> Assess Hepatitis B risk -> Intact skin exposure to blood or body fluid||Decision tree for managing hepatitis exposure -> Risk stratification -> Categorize the event as low-risk -> Assess Hepatitis C risk -> Intact skin exposure to blood or body fluid
Patient with HEPATITIS EXPOSURE,"any type of exposure to non-blood-containing feces, saliva, urine, or sputum","Decision tree for managing hepatitis exposure -> Risk stratification -> Categorize the event as high-risk -> Assess Hepatitis B risk -> any type of exposure to non-blood-containing feces, saliva, urine, or sputum||Decision tree for managing hepatitis exposure -> Risk stratification -> Categorize the event as low-risk -> Assess Hepatitis B risk -> any type of exposure to non-blood-containing feces, saliva, urine, or sputum"
Patient with HEPATITIS EXPOSURE,Mucous membrane or nonintact skin exposure with non-blood-containing body fluid,Decision tree for managing hepatitis exposure -> Risk stratification -> Categorize the event as high-risk -> Assess Hepatitis C risk -> Mucous membrane or nonintact skin exposure with non-blood-containing body fluid||Decision tree for managing hepatitis exposure -> Risk stratification -> Categorize the event as low-risk -> Assess Hepatitis C risk -> Mucous membrane or nonintact skin exposure with non-blood-containing body fluid
Patient with HEPATITIS EXPOSURE,No post-exposure prophylaxis is warranted,Decision tree for managing hepatitis exposure -> Intervention -> Determine if the exposed individual is immune to Hepatitis B -> No post-exposure prophylaxis is warranted||Decision tree for managing hepatitis exposure -> Intervention -> Determine if the exposed individual is nonimmune to Hepatitis B or a vaccine nonresponder after 1 series -> Administer Hepatitis B post-exposure prophylaxis for a low-risk event -> No post-exposure prophylaxis is warranted||Decision tree for managing hepatitis exposure -> Intervention -> Determine if the exposed individual is a Hepatitis B vaccine nonresponder after 2 series -> Administer Hepatitis B post-exposure prophylaxis for a low-risk event -> No post-exposure prophylaxis is warranted
Patient with HEPATITIS EXPOSURE,Administer HBIG (0.6 ml/kg) within 72 hours and initiate vaccine series,Decision tree for managing hepatitis exposure -> Intervention -> Determine if the exposed individual is nonimmune to Hepatitis B or a vaccine nonresponder after 1 series -> Administer Hepatitis B post-exposure prophylaxis for a high-risk event -> Administer HBIG (0.6 ml/kg) within 72 hours and initiate vaccine series||Decision tree for managing hepatitis exposure -> Intervention -> Determine if the exposed individual is a Hepatitis B vaccine nonresponder after 2 series -> Administer Hepatitis B post-exposure prophylaxis for a high-risk event -> Administer HBIG (0.6 ml/kg) within 72 hours and initiate vaccine series
Patient with HEPATITIS EXPOSURE,Initiate vaccine series,Decision tree for managing hepatitis exposure -> Intervention -> Determine if the exposed individual is nonimmune to Hepatitis B or a vaccine nonresponder after 1 series -> Administer Hepatitis B post-exposure prophylaxis for a low-risk event -> Initiate vaccine series||Decision tree for managing hepatitis exposure -> Intervention -> Determine if the exposed individual is a Hepatitis B vaccine nonresponder after 2 series -> Administer Hepatitis B post-exposure prophylaxis for a low-risk event -> Initiate vaccine series
