source,leaf,paths
Post-myocardial infarction care and counseling,STEMI vs. NSTEMI,Management and counseling of patients after myocardial infarction (MI) -> History -> STEMI vs. NSTEMI
Post-myocardial infarction care and counseling,"Treatment (PCI, CABG, conservative)","Management and counseling of patients after myocardial infarction (MI) -> History -> Treatment (PCI, CABG, conservative)"
Post-myocardial infarction care and counseling,In-hospital complications,Management and counseling of patients after myocardial infarction (MI) -> History -> In-hospital complications
Post-myocardial infarction care and counseling,"Symptoms of angina, PVD, CVD, CHF","Management and counseling of patients after myocardial infarction (MI) -> History -> Symptoms of angina, PVD, CVD, CHF"
Post-myocardial infarction care and counseling,Tobacco use,Management and counseling of patients after myocardial infarction (MI) -> History -> Tobacco use
Post-myocardial infarction care and counseling,"Palpitations, syncope","Management and counseling of patients after myocardial infarction (MI) -> History -> Palpitations, syncope"
Post-myocardial infarction care and counseling,Signs/symptoms of CHF/LV dysfunction,Management and counseling of patients after myocardial infarction (MI) -> Examination -> Signs/symptoms of CHF/LV dysfunction
Post-myocardial infarction care and counseling,"Signs/symptoms of PVD, CVD","Management and counseling of patients after myocardial infarction (MI) -> Examination -> Signs/symptoms of PVD, CVD"
Post-myocardial infarction care and counseling,Weight/BMI,Management and counseling of patients after myocardial infarction (MI) -> Examination -> Weight/BMI
Post-myocardial infarction care and counseling,Waist circumference,Management and counseling of patients after myocardial infarction (MI) -> Examination -> Waist circumference
Post-myocardial infarction care and counseling,Renal function,Management and counseling of patients after myocardial infarction (MI) -> Laboratory testing -> Renal function
Post-myocardial infarction care and counseling,Fasting lipids,Management and counseling of patients after myocardial infarction (MI) -> Laboratory testing -> Fasting lipids
Post-myocardial infarction care and counseling,Screening for diabetes mellitus,Management and counseling of patients after myocardial infarction (MI) -> Laboratory testing -> Screening for diabetes mellitus
Post-myocardial infarction care and counseling,Hgb A1c if diabetic,Management and counseling of patients after myocardial infarction (MI) -> Laboratory testing -> Hgb A1c if diabetic
Post-myocardial infarction care and counseling,ECG,Management and counseling of patients after myocardial infarction (MI) -> Testing -> ECG
Post-myocardial infarction care and counseling,Echocardiogram (ECHO),Management and counseling of patients after myocardial infarction (MI) -> Testing -> Echocardiogram (ECHO)
Post-myocardial infarction care and counseling,Stress testing,Management and counseling of patients after myocardial infarction (MI) -> Testing -> Stress testing
Post-myocardial infarction care and counseling,Submaximal exercise tolerance test (ETT) prior to hospital discharge if conservative management or consider if PCI and significant residual disease,Management and counseling of patients after myocardial infarction (MI) -> Testing -> Submaximal exercise tolerance test (ETT) prior to hospital discharge if conservative management or consider if PCI and significant residual disease
Post-myocardial infarction care and counseling,Refer for acute care,Management and counseling of patients after myocardial infarction (MI) -> Risk assessment -> Recurrent symptoms in unstable pattern -> Refer for acute care
Post-myocardial infarction care and counseling,High-risk stress test,Management and counseling of patients after myocardial infarction (MI) -> Risk assessment -> High-risk findings -> High-risk stress test
Post-myocardial infarction care and counseling,Moderate to severe anginal symptoms,Management and counseling of patients after myocardial infarction (MI) -> Risk assessment -> High-risk findings -> Moderate to severe anginal symptoms
Post-myocardial infarction care and counseling,LV dysfunction ECHO,Management and counseling of patients after myocardial infarction (MI) -> Risk assessment -> High-risk findings -> LV dysfunction ECHO
Post-myocardial infarction care and counseling,Signs/symptoms of CHF,Management and counseling of patients after myocardial infarction (MI) -> Risk assessment -> High-risk findings -> Signs/symptoms of CHF
Post-myocardial infarction care and counseling,Syncope/presyncope,Management and counseling of patients after myocardial infarction (MI) -> Risk assessment -> High-risk findings -> Syncope/presyncope
Post-myocardial infarction care and counseling,Consider referral to cardiology for further diagnostic/invasive interventions,Management and counseling of patients after myocardial infarction (MI) -> Risk assessment -> High-risk findings -> Consider referral to cardiology for further diagnostic/invasive interventions
Post-myocardial infarction care and counseling,Importance of diet and exercise,Management and counseling of patients after myocardial infarction (MI) -> Education -> Patient -> Importance of diet and exercise
