source,leaf,paths
root,Echocardiogram,"Patient with Scleroderma -> History and physical examination -> Involvement of distal hands and feet, face and neck -> Calcinosis, Raynaud's phenomenon, Esophageal dysmotility, Sclerodactyly, Telangiectasias -> Evaluation for systemic involvement -> Echocardiogram"
root,Barium swallow and upper endoscopy if indicated,"Patient with Scleroderma -> History and physical examination -> Involvement of distal hands and feet, face and neck -> Calcinosis, Raynaud's phenomenon, Esophageal dysmotility, Sclerodactyly, Telangiectasias -> Management of Raynaud's phenomenon and skin care -> Barium swallow and upper endoscopy if indicated"
root,Aggressive management of GERD,"Patient with Scleroderma -> History and physical examination -> Involvement of distal hands and feet, face and neck -> Calcinosis, Raynaud's phenomenon, Esophageal dysmotility, Sclerodactyly, Telangiectasias -> Management of Raynaud's phenomenon and skin care -> Aggressive management of GERD"
root,Observation and additional evaluation,"Patient with Scleroderma -> History and physical examination -> Pulmonary involvement -> Chest x-ray, Pulmonary function test with DLCO, echocardiogram -> Normal -> Observation and additional evaluation"
root,Additional evaluation for pulmonary hypertension (i.e. right-sided heart catheterization),"Patient with Scleroderma -> History and physical examination -> Involvement of distal hands and feet, face and neck -> Calcinosis, Raynaud's phenomenon, Esophageal dysmotility, Sclerodactyly, Telangiectasias -> Management of Raynaud's phenomenon and skin care -> No pulmonary hypertension -> Dyspnea -> Additional evaluation for pulmonary hypertension (i.e. right-sided heart catheterization)"
root,Treatment,"Patient with Scleroderma -> History and physical examination -> Involvement of distal hands and feet, face and neck -> Calcinosis, Raynaud's phenomenon, Esophageal dysmotility, Sclerodactyly, Telangiectasias -> Management of Raynaud's phenomenon and skin care -> Pulmonary hypertension -> Treatment"
root,DcSSc,"Patient with Scleroderma -> History and physical examination -> Involvement of skin proximal to hands and feet, face, neck and trunk -> DcSSc"
root,"Morphea, Linear scleroderma, En coup de sabre","Patient with Scleroderma -> History and physical examination -> Localized skin thickening -> Morphea, Linear scleroderma, En coup de sabre"
root,"CBC, eosinophil count, thyroid-stimulating hormone, blood glucose, serum and urine protein electrophoresis","Patient with Scleroderma -> History and physical examination -> Other: eosinophilic fasciitis, scleredema, scleromyxedema, diabetic sclerodactyly, hypothyroidism, POEMS, GVHD, amyloid, NFD, bleomycin, environmental exposures -> CBC, eosinophil count, thyroid-stimulating hormone, blood glucose, serum and urine protein electrophoresis"
root,Lower GI tract evaluation if indicated,Patient with Scleroderma -> History and physical examination -> GI involvement -> Lower GI tract evaluation if indicated
root,Consider ACE inhibitor,"Patient with Scleroderma -> History and physical examination -> Renal involvement -> Monitor: Blood pressure, BUN/creatine, Urinalysis -> Consider ACE inhibitor"
root,Consider treatment of interstitial lung disease/alveolitis and/or pulmonary hypertension,"Patient with Scleroderma -> History and physical examination -> Pulmonary involvement -> Chest x-ray, Pulmonary function test with DLCO, echocardiogram -> Abnormal -> High-resolution chest CT and consider bronchoscopy -> Consider treatment of interstitial lung disease/alveolitis and/or pulmonary hypertension"
root,"Management of pericarditis, cardiomyopathy, arrhythmias","Patient with Scleroderma -> History and physical examination -> Cardiac involvement -> ECG, Holter, echocardiogram -> Management of pericarditis, cardiomyopathy, arrhythmias"
