source,leaf,paths
Patient with SEXUAL DYSFUNCTION,Marital/relationship stress,"Detailed history, including sexual history Focused physical examination -> Male patient -> Decreased libido -> Marital/relationship stress"
Patient with SEXUAL DYSFUNCTION,Depression,"Detailed history, including sexual history Focused physical examination -> Male patient -> Decreased libido -> Depression||Detailed history, including sexual history Focused physical examination -> Male patient -> Decreased libido -> Other psychological problems -> Marital/sex therapy -> Depression||Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Depression||Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Other psychological problems -> Marital/sex therapy -> Depression||Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Marital/sex therapy -> Depression"
Patient with SEXUAL DYSFUNCTION,Psychiatry referral,"Detailed history, including sexual history Focused physical examination -> Male patient -> Decreased libido -> Other psychological problems -> Psychiatry referral||Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Other psychological problems -> Psychiatry referral"
Patient with SEXUAL DYSFUNCTION,Medications,"Detailed history, including sexual history Focused physical examination -> Male patient -> Decreased libido -> Medications||Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Medications"
Patient with SEXUAL DYSFUNCTION,Drug/alcohol abuse,"Detailed history, including sexual history Focused physical examination -> Male patient -> Decreased libido -> Drug/alcohol abuse||Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Drug/alcohol abuse"
Patient with SEXUAL DYSFUNCTION,Acute/chronic illness,"Detailed history, including sexual history Focused physical examination -> Male patient -> Decreased libido -> Acute/chronic illness||Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Acute/chronic illness"
Patient with SEXUAL DYSFUNCTION,Fatigue,"Detailed history, including sexual history Focused physical examination -> Male patient -> Decreased libido -> Fatigue||Detailed history, including sexual history Focused physical examination -> Male patient -> Ejaculatory dysfunction -> Premature -> Fatigue||Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Fatigue"
Patient with SEXUAL DYSFUNCTION,Hypogonadism,"Detailed history, including sexual history Focused physical examination -> Male patient -> Decreased libido -> Hypogonadism"
Patient with SEXUAL DYSFUNCTION,Medical Therapy as Appropriate,"Detailed history, including sexual history Focused physical examination -> Male patient -> Decreased libido -> Medical Therapy as Appropriate||Detailed history, including sexual history Focused physical examination -> Male patient -> Erectile dysfunction -> Morning erections absent -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Erections absent or inadequate -> Medical Therapy as Appropriate||Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Medical Therapy as Appropriate||Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Insertional -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Erections absent or inadequate -> Medical Therapy as Appropriate||Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Deep thrust -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Erections absent or inadequate -> Medical Therapy as Appropriate"
Patient with SEXUAL DYSFUNCTION,Exercise,"Detailed history, including sexual history Focused physical examination -> Male patient -> Decreased libido -> Exercise||Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Exercise"
Patient with SEXUAL DYSFUNCTION,Consider: Marital/sex therapy,"Detailed history, including sexual history Focused physical examination -> Male patient -> Decreased libido -> Consider: Marital/sex therapy"
