source,leaf,paths
root,Stop Warfarin,Patient for FRESH FROZEN PLATELETS and CRYOPRECIPITATE -> Vitamin K deficiency/Warfarin reversal -> 48 hr available -> Stop Warfarin
root,Give Vitamin K,Patient for FRESH FROZEN PLATELETS and CRYOPRECIPITATE -> Vitamin K deficiency/Warfarin reversal -> 12 hr available -> Give Vitamin K
root,Infuse FFP,Patient for FRESH FROZEN PLATELETS and CRYOPRECIPITATE -> Vitamin K deficiency/Warfarin reversal -> Immediate reversal -> Infuse FFP
root,Also Give IV Vitamin K,Patient for FRESH FROZEN PLATELETS and CRYOPRECIPITATE -> Vitamin K deficiency/Warfarin reversal -> Immediate reversal -> Also Give IV Vitamin K
root,Consider Prothrombin Complex Concentration as an Alternative,Patient for FRESH FROZEN PLATELETS and CRYOPRECIPITATE -> Vitamin K deficiency/Warfarin reversal -> Immediate reversal -> Consider Prothrombin Complex Concentration as an Alternative
root,Liver disease,Patient for FRESH FROZEN PLATELETS and CRYOPRECIPITATE -> Liver disease
root,Isolated factor deficiency,Patient for FRESH FROZEN PLATELETS and CRYOPRECIPITATE -> Isolated factor deficiency
root,Dilutional coagulopathy,Patient for FRESH FROZEN PLATELETS and CRYOPRECIPITATE -> Dilutional coagulopathy
root,"Other: DIC, TTP, C1-esterase deficiency","Patient for FRESH FROZEN PLATELETS and CRYOPRECIPITATE -> Other: DIC, TTP, C1-esterase deficiency"
root,Transfuse CRYO,Patient for FRESH FROZEN PLATELETS and CRYOPRECIPITATE -> Fibrinogen deficiency -> Transfuse CRYO
