source,leaf,paths
Patient with WEAKNESS,Suggests a vascular event.,"Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Upper Motor Neuron signs such as hyperreflexia, bradykinesia, and/or increased tone. -> Isolated weakness without sensory loss. -> Evolving over minutes to hours. -> Suggests a vascular event.||Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Upper Motor Neuron signs such as hyperreflexia, bradykinesia, and/or increased tone. -> Weakness with accompanying sensory deficits. -> Suggests a vascular event.||Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Lower Motor Neuron signs such as atrophy, fasciculations, or depressed reflexes. -> Weakness with accompanying sensory deficits. -> Suggests a vascular event.||Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Lower Motor Neuron signs such as atrophy, fasciculations, or depressed reflexes. -> Isolated weakness without sensory loss. -> Evolving over minutes to hours. -> Suggests a vascular event."
Patient with WEAKNESS,Suggests a demyelinating event.,"Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Upper Motor Neuron signs such as hyperreflexia, bradykinesia, and/or increased tone. -> Isolated weakness without sensory loss. -> Evolving over minutes to hours. -> Suggests a demyelinating event.||Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Upper Motor Neuron signs such as hyperreflexia, bradykinesia, and/or increased tone. -> Isolated weakness without sensory loss. -> Evolving over days to weeks. -> Suggests a demyelinating event.||Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Upper Motor Neuron signs such as hyperreflexia, bradykinesia, and/or increased tone. -> Isolated weakness without sensory loss. -> Progresses over months to years. -> Suggests a demyelinating event.||Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Upper Motor Neuron signs such as hyperreflexia, bradykinesia, and/or increased tone. -> Weakness with accompanying sensory deficits. -> Suggests a demyelinating event.||Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Lower Motor Neuron signs such as atrophy, fasciculations, or depressed reflexes. -> Weakness with accompanying sensory deficits. -> Suggests a demyelinating event.||Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Lower Motor Neuron signs such as atrophy, fasciculations, or depressed reflexes. -> Isolated weakness without sensory loss. -> Evolving over minutes to hours. -> Suggests a demyelinating event.||Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Lower Motor Neuron signs such as atrophy, fasciculations, or depressed reflexes. -> Isolated weakness without sensory loss. -> Evolving over days to weeks. -> Suggests a demyelinating event.||Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Lower Motor Neuron signs such as atrophy, fasciculations, or depressed reflexes. -> Isolated weakness without sensory loss. -> Progresses over months to years. -> Suggests a demyelinating event."
Patient with WEAKNESS,Presence of infection.,"Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Upper Motor Neuron signs such as hyperreflexia, bradykinesia, and/or increased tone. -> Isolated weakness without sensory loss. -> Evolving over days to weeks. -> Presence of infection.||Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Upper Motor Neuron signs such as hyperreflexia, bradykinesia, and/or increased tone. -> Weakness with accompanying sensory deficits. -> Presence of infection.||Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Lower Motor Neuron signs such as atrophy, fasciculations, or depressed reflexes. -> Weakness with accompanying sensory deficits. -> Presence of infection.||Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Lower Motor Neuron signs such as atrophy, fasciculations, or depressed reflexes. -> Isolated weakness without sensory loss. -> Evolving over days to weeks. -> Presence of infection."
Patient with WEAKNESS,Presence of neoplasia.,"Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Upper Motor Neuron signs such as hyperreflexia, bradykinesia, and/or increased tone. -> Isolated weakness without sensory loss. -> Evolving over days to weeks. -> Presence of neoplasia.||Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Upper Motor Neuron signs such as hyperreflexia, bradykinesia, and/or increased tone. -> Weakness with accompanying sensory deficits. -> Presence of neoplasia.||Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Lower Motor Neuron signs such as atrophy, fasciculations, or depressed reflexes. -> Weakness with accompanying sensory deficits. -> Presence of neoplasia.||Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Lower Motor Neuron signs such as atrophy, fasciculations, or depressed reflexes. -> Isolated weakness without sensory loss. -> Evolving over days to weeks. -> Presence of neoplasia."
Patient with WEAKNESS,Suggests degenerative disease.,"Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Upper Motor Neuron signs such as hyperreflexia, bradykinesia, and/or increased tone. -> Isolated weakness without sensory loss. -> Progresses over months to years. -> Suggests degenerative disease.||Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Lower Motor Neuron signs such as atrophy, fasciculations, or depressed reflexes. -> Isolated weakness without sensory loss. -> Progresses over months to years. -> Suggests degenerative disease."
Patient with WEAKNESS,Vascular malformation.,"Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Upper Motor Neuron signs such as hyperreflexia, bradykinesia, and/or increased tone. -> Isolated weakness without sensory loss. -> Progresses over months to years. -> Vascular malformation.||Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Lower Motor Neuron signs such as atrophy, fasciculations, or depressed reflexes. -> Isolated weakness without sensory loss. -> Progresses over months to years. -> Vascular malformation."
Patient with WEAKNESS,"Symmetric, distal deficits (glove-and-stocking pattern).","Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Upper Motor Neuron signs such as hyperreflexia, bradykinesia, and/or increased tone. -> Weakness with accompanying sensory deficits. -> Symmetric, distal deficits (glove-and-stocking pattern).||Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Lower Motor Neuron signs such as atrophy, fasciculations, or depressed reflexes. -> Weakness with accompanying sensory deficits. -> Symmetric, distal deficits (glove-and-stocking pattern)."
Patient with WEAKNESS,Unilateral sensorimotor deficits in the distribution of a single nerve.,"Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Upper Motor Neuron signs such as hyperreflexia, bradykinesia, and/or increased tone. -> Weakness with accompanying sensory deficits. -> Unilateral sensorimotor deficits in the distribution of a single nerve.||Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Lower Motor Neuron signs such as atrophy, fasciculations, or depressed reflexes. -> Weakness with accompanying sensory deficits. -> Unilateral sensorimotor deficits in the distribution of a single nerve."
Patient with WEAKNESS,Unilateral sensorimotor deficits in a dermatome-myotome pattern or sensorimotor deficits in a distribution of multiple cervical or sacrolumbar roots,"Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Upper Motor Neuron signs such as hyperreflexia, bradykinesia, and/or increased tone. -> Weakness with accompanying sensory deficits. -> Unilateral sensorimotor deficits in a dermatome-myotome pattern or sensorimotor deficits in a distribution of multiple cervical or sacrolumbar roots||Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Lower Motor Neuron signs such as atrophy, fasciculations, or depressed reflexes. -> Weakness with accompanying sensory deficits. -> Unilateral sensorimotor deficits in a dermatome-myotome pattern or sensorimotor deficits in a distribution of multiple cervical or sacrolumbar roots"
Patient with WEAKNESS,Sensorimotor deficits in a distribution of multiple cervical or sacrolumbar roots.,"Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Upper Motor Neuron signs such as hyperreflexia, bradykinesia, and/or increased tone. -> Weakness with accompanying sensory deficits. -> Sensorimotor deficits in a distribution of multiple cervical or sacrolumbar roots.||Determine if the patient has Upper Motor Neuron (UMN) signs, Lower Motor Neuron (LMN) signs, or both. -> Lower Motor Neuron signs such as atrophy, fasciculations, or depressed reflexes. -> Weakness with accompanying sensory deficits. -> Sensorimotor deficits in a distribution of multiple cervical or sacrolumbar roots."
