ID,question,answer,options,correct_option,path,condition,label,modifications
2,"A 70-year-old patient presents with resting tremor, bradykinesia, and rigidity, leading to a suspected diagnosis of Parkinson's disease. After initial evaluation, levodopa is prescribed. If the patient's condition progresses despite this treatment, which of the following underlying pathologies is most likely?",Striatonigral degeneration,"['Progressive supranuclear palsy', 'Multiple system atrophy', 'Corticobasal degeneration', 'Striatonigral degeneration', 'Lewy body dementia']",D,"History, Physical examination -> Levodopa initiated -> Poor response suggests atypical parkinsonism -> Consistent with striatonigral degeneration",parkinson’s disease,0,No change.
3,"A 68-year-old patient presents with a recent diagnosis of idiopathic Parkinson's disease. After evaluation, treatment is initiated. Considering the patient's age and the goal of minimizing cognitive side effects, which of the following would be the MOST appropriate initial therapeutic approach?",Initiate treatment with levodopa/carbidopa.,"['Initiate treatment with levodopa/carbidopa.', 'Begin with amantadine monotherapy.', 'Prescribe bromocriptine.', 'Start with ropinirole.', 'Start with high dosages of coenzyme Q10.']",A,"History, Physical examination -> Diagnosis of idiopathic PD -> Elderly patient -> Levodopa/carbidopa minimizes cognitive side effects",parkinson’s disease,0,No change.
4,"A 68-year-old male presents with a resting tremor, bradykinesia, and rigidity, consistent with Parkinson's disease. He is started on levodopa/carbidopa, but his symptoms remain inadequately controlled, leading to significant disability. What is the next appropriate step in managing his Parkinson's disease?",Add a dopamine agonist to the levodopa/carbidopa regimen.,"['Add a dopamine agonist to the levodopa/carbidopa regimen.', 'Start amantadine to manage dyskinesias.', 'Initiate deep brain stimulation (DBS).', 'Add a COMT inhibitor such as entacapone.', 'Increase the dose of levodopa/carbidopa.']",A,"History, Physical examination -> Levodopa initiated -> Inadequate symptom control -> Adjunct therapy with a dopamine agonist is indicated",parkinson’s disease,0,No change.
5,"A 62-year-old male presents with a recent diagnosis of idiopathic Parkinson's disease. Initial treatment with levodopa effectively managed his symptoms. However, he now experiences persistent symptoms causing disability despite optimized levodopa dosage. What is the MOST appropriate next step in managing his Parkinson's disease?",Add a COMT inhibitor to the levodopa/carbidopa regimen.,"['Increase the dosage of levodopa/carbidopa', 'Refer the patient for deep brain stimulation (DBS) evaluation', 'Initiate treatment with selegiline for potential neuroprotective benefits', 'Discontinue Levodopa and add Dopamine Agonists', 'Add a COMT inhibitor to the levodopa/carbidopa regimen']",E,"History, Physical examination -> Levodopa given at optimal doses -> Persistent symptoms -> Adjunct therapy with a COMT inhibitor prolongs levodopa effect",parkinson’s disease,1,Changed correct answer from “Discontinue Levodopa and add Dopamine Agonists” to “Add a COMT inhibitor to the levodopa/carbidopa regimen.”
6,"A 68-year-old male with a 10-year history of Parkinson's disease is experiencing disabling motor fluctuations and dyskinesias despite being on levodopa/carbidopa. After evaluation, the physician decides to change the treatment. Which of the following is the MOST appropriate next step in managing this patient's medication?",Continue levodopa/carbidopa at the same dose and add amantadine.,"['Discontinue levodopa/carbidopa and initiate dopamine agonist monotherapy.', 'Increase the dose of levodopa/carbidopa.', 'Reduce the dose of levodopa/carbidopa and add a COMT inhibitor.', 'Continue levodopa/carbidopa at the same dose and add amantadine.', 'Refer the patient for deep brain stimulation (DBS) surgery.']",D,"History, Physical examination -> Levodopa initiated -> Advanced PD with motor fluctuations/dyskinesias -> Maintain levodopa and add amantadine to manage dyskinesias",parkinson’s disease,1,Changed correct answer from “Discontinue levodopa/carbidopa and initiate dopamine agonist monotherapy” to “Continue levodopa/carbidopa at the same dose and add amantadine.”
7,"A 45-year-old male presents to the clinic with recurrent episodes of noncardiac chest pain. His ECG, cardiac enzymes, and coronary angiogram are normal. Despite a 14-day double-dose PPI trial, his symptoms persist; endoscopy is normal and provocative testing is negative. What is the MOST appropriate next step in managing his chest pain?",Perform 24-hour pH monitoring to correlate chest pain events with reflux events.,"['Order an esophageal manometry to assess for motility disorders.', 'Initiate a trial of anti-anxiety medication.', 'Refer the patient for a psychiatric evaluation.', 'Perform 24-hour pH monitoring to correlate chest pain events with reflux events.', 'Prescribe a calcium channel blocker to treat possible microvascular angina.']",D,Noncardiac chest pain -> PPI trial failed -> Endoscopy and provocative testing negative -> 24-hour pH monitoring is indicated to detect reflux correlation,noncardiac chest pain,0,No change.
8,"A 55-year-old male with a history of noncardiac chest pain and normal coronary arteries has not improved after a 14-day double-dose PPI trial, endoscopy, and further testing showing normal pH and manometry. What is the MOST appropriate next step in evaluating the cause of his chest pain?","Perform provocative testing (Bernstein, Tensilon, Balloon Distention).","['Perform provocative testing (Bernstein, Tensilon, Balloon Distention).', 'Administer a calcium channel blocker.', 'Prescribe a tricyclic antidepressant.', 'Initiate a trial of nitroglycerin.', 'Repeat the endoscopy with biopsy.']",A,"Noncardiac chest pain with normal PPI, endoscopy, pH, and manometry results -> Provocative testing is used to assess esophageal hypersensitivity",noncardiac chest pain,0,No change.
9,"A 45-year-old woman with a history of anxiety presents with recurrent noncardiac chest pain. Her coronary workup is normal, and after a failed 14-day double-dose PPI trial and a negative endoscopy with provocative testing, what is the next appropriate step in managing her condition?",Reassure the patient.,"['Repeat the endoscopy with biopsy', 'Reassure the patient', 'Initiate a trial of calcium channel blockers', 'Prescribe a tricyclic antidepressant', 'Perform ambulatory pH monitoring']",B,Noncardiac chest pain -> Normal workup and negative provocative tests -> Esophageal cause unlikely -> Reassurance is the appropriate next step,noncardiac chest pain,0,No change.
10,A 55-year-old woman with hypertension is found to have a 5 cm adrenal incidentaloma on CT performed for unrelated reasons. She denies any symptoms of hormone excess. What is the most appropriate next step in management?,Resection of the adrenal mass.,"['Aldosterone-to-renin ratio measurement', 'Fine needle aspiration of the mass', 'Metanephrine testing', 'Resection of the adrenal mass', 'Observation with serial imaging']",D,Adrenal incidentaloma >4 cm carries a higher risk of malignancy -> Resection is recommended,adrenal incidentaloma,0,No change.
11,"A 54-year-old woman presents with persistent hip pain that started insidiously a few months ago, with no history of trauma. Radiographs are normal. What is the most appropriate next step in management?","Further imaging with MRI, CT, or bone scan.","['Recommend hip joint aspiration', 'Prescribe opioid pain medication', 'Further imaging with MRI, CT, or bone scan.', 'Initiate physical therapy and NSAIDs', 'Order an electromyography (EMG)']",C,"Hip pain with normal radiographs -> Advanced imaging (MRI, CT, or bone scan) is needed to detect occult pathology",hip pain,0,No change.
