question,options,correct_option,path,condition
"A 72-year-old male presents with symptoms of Parkinson's disease, including tremor, rigidity, and bradykinesia, but his history reveals he recently started taking metoclopramide for gastroparesis. What is the most appropriate initial step in managing his condition?","['Start a dopamine agonist such as pramipexole.', 'Discontinue metoclopramide and assess for symptom improvement.', 'Prescribe amantadine to manage dyskinesias.', 'Initiate levodopa/carbidopa therapy.', 'Refer for deep brain stimulation (DBS) evaluation.']",B,"History, Physical examination -> Drug-induced parkinsonism -> Stop drugs if possible",parkinson’s disease
"A 70-year-old patient presents with resting tremor, bradykinesia, and rigidity, leading to a suspected diagnosis of Parkinson's disease. After initial evaluation, levodopa is prescribed. If the patient's condition progresses despite this treatment, which of the following underlying pathologies is most likely?","['Progressive supranuclear palsy', 'Multiple system atrophy', 'Corticobasal degeneration', 'Striatonigral degeneration', 'Lewy body dementia']",D,"History, Physical examination -> Give Levodopa -> Striatonigral degeneration",parkinson’s disease
"A 68-year-old male presents with a resting tremor, bradykinesia, and rigidity, leading to a diagnosis of Parkinson's disease. Initial treatment with levodopa shows improvement, but the patient's symptoms are not fully controlled. Given the possible neuroprotective benefits, which of the following medications should be considered as an adjunct therapy?","['Amantadine', 'Entacapone', 'Trihexyphenidyl', 'Benztropine', 'Selegiline']",E,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Selegiline",parkinson’s disease
"A 70-year-old patient presents with resting tremor, bradykinesia, and rigidity, leading to a suspected diagnosis of Parkinson's disease. After initial evaluation, levodopa is prescribed. If the patient's condition progresses despite this treatment, which of the following underlying pathologies is most likely?","['Progressive supranuclear palsy', 'Multiple system atrophy', 'Corticobasal degeneration', 'Striatonigral degeneration', 'Lewy body dementia']",D,"History, Physical examination -> Levodopa initiated -> Poor response suggests atypical parkinsonism -> Consistent with striatonigral degeneration",parkinson’s disease
"A 72-year-old patient presents with resting tremor, bradykinesia, and rigidity, leading to a suspected diagnosis of idiopathic Parkinson's Disease (PD). After a thorough history and physical examination, what is the MOST appropriate initial treatment approach if the patient's symptoms are causing significant disability?","['Prescribe an anticholinergic medication to manage the tremor.', 'Start with a low dose of Amantadine to improve motor function.', 'Begin physical therapy and delay pharmacological intervention.', 'Recommend immediate deep brain stimulation (DBS) surgery.', 'Initiate treatment with Levodopa/Carbidopa and monitor the patient's response.']",E,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Levodopa/Carbidopa -> Sufficient response",parkinson’s disease
"A 68-year-old male presents with a resting tremor, bradykinesia, and rigidity, suggestive of Parkinson's disease. Initial treatment with levodopa improves his motor symptoms, but he develops disabling motor fluctuations and dyskinesias. Considering his age and the need for additional symptomatic control, what is the MOST appropriate next step in managing his Parkinson's disease?","['Refer the patient for deep brain stimulation (DBS).', 'Prescribe amantadine for dyskinesias.', 'Increase the dose of levodopa/carbidopa.', 'Discontinue levodopa and switch to a high-dose dopamine agonist.', 'Initiate treatment with a dopamine agonist to augment the effects of levodopa.']",E,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Direct Dopaminergic Agonists -> Add Dopamine Agonists",parkinson’s disease
"A 68-year-old patient presents with a recent diagnosis of idiopathic Parkinson's disease. After evaluation, treatment is initiated. Considering the patient's age and the goal of minimizing cognitive side effects, which of the following would be the MOST appropriate initial therapeutic approach?","['Initiate treatment with levodopa/carbidopa.', 'Begin with amantadine monotherapy.', 'Prescribe bromocriptine.', 'Start with ropinirole.', 'Start with high dosages of coenzyme Q10.']",A,"History, Physical examination -> Diagnosis of idiopathic PD -> Elderly patient -> Levodopa/carbidopa minimizes cognitive side effects",parkinson’s disease
"A 68-year-old male presents with a resting tremor, bradykinesia, and rigidity, consistent with Parkinson's disease. He is started on levodopa/carbidopa, but his symptoms remain inadequately controlled, leading to significant disability. What is the next appropriate step in managing his Parkinson's disease?","['Add a dopamine agonist to the levodopa/carbidopa regimen.', 'Start amantadine to manage dyskinesias.', 'Initiate deep brain stimulation (DBS).', 'Add a COMT inhibitor such as entacapone.', 'Increase the dose of levodopa/carbidopa.']",A,"History, Physical examination -> Levodopa initiated -> Inadequate symptom control -> Adjunct therapy with a dopamine agonist is indicated",parkinson’s disease
"A 62-year-old male presents with a recent diagnosis of idiopathic Parkinson's disease. Initial treatment with levodopa effectively managed his symptoms. However, he now experiences persistent symptoms causing disability despite optimized levodopa dosage. What is the MOST appropriate next step in managing his Parkinson's disease?","['Increase the dosage of levodopa/carbidopa', 'Refer the patient for deep brain stimulation (DBS) evaluation', 'Initiate treatment with selegiline for potential neuroprotective benefits', 'Discontinue Levodopa and add Dopamine Agonists', 'Add a COMT inhibitor to the levodopa/carbidopa regimen']",E,"History, Physical examination -> Levodopa given at optimal doses -> Persistent symptoms -> Adjunct therapy with a COMT inhibitor prolongs levodopa effect",parkinson’s disease
"A 70-year-old patient presents with a resting tremor, bradykinesia, and cogwheel rigidity. After a thorough history and physical examination, specific findings suggest a type of secondary Parkinsonism. Which of the following steps is MOST appropriate in determining the underlying cause?","['Reviewing the patient's medication list and history of exposure to toxins or other relevant medical conditions.', 'Referring the patient for deep brain stimulation (DBS) evaluation.', 'Performing genetic testing for common Parkinson's disease mutations.', 'Initiating levodopa/carbidopa therapy to assess responsiveness.', 'Immediately ordering a DaTscan to confirm dopaminergic neuron loss.']",A,"History, Physical examination -> Specific findings indicate type of secondary PD",parkinson’s disease
