question,answer,options,correct_option,path,condition
A 35-year-old woman reports persistent fatigue for the past 7 months. She describes it as exhaustion that is somewhat related to work but is less severe on vacations. Physical examination reveals no abnormalities. What is the MOST appropriate next step in evaluating her fatigue?,Treat underlying cause of persistent fatigue,"['Reassurance and follow-up', 'Prescription of stimulants', 'Referral to a psychiatrist', 'Symptomatic treatment with exercise and improved sleep hygiene', 'Treat underlying cause of persistent fatigue']",E,"History, including careful description of fatigue. Physical examination -> Evidence of physiologic fatigue -> Treat Underlying Cause of Persistent Fatigue -> Fatigue resolved",fatigue
"A 52-year-old woman presents to her primary care physician complaining of persistent fatigue for the past 8 months. She denies any fever, weight loss, or recent infections. She has a history of well-controlled hypertension and reports no changes in her medications. Physical examination reveals no acute distress, normal vital signs, and no remarkable findings. According to the text, what is the MOST appropriate next step in evaluating the cause of her fatigue?","Perform a thorough history and physical examination, including a detailed description of the fatigue and associated symptoms.","['Order a comprehensive metabolic panel to assess for common medical conditions.', 'Prescribe a trial of antidepressants to address potential underlying psychiatric issues.', 'Recommend lifestyle modifications, such as improved sleep hygiene and regular exercise.', 'Refer the patient to a sleep specialist for evaluation of sleep disorders.', 'Perform a thorough history and physical examination, including a detailed description of the fatigue and associated symptoms.']",E,"History, including careful description of fatigue. Physical examination -> Chronic medical disease or exposure identified -> Treat Underlying Cause of Persistent Fatigue -> Fatigue resolved",fatigue
A 35-year-old woman reports persistent fatigue for the past 7 months. She denies any specific triggers and mentions it interferes with her daily activities. Physical examination reveals no obvious abnormalities. What is the MOST appropriate next step in managing her fatigue?,Treat any identified underlying causes of persistent fatigue.,"['Prescribe a stimulant medication to improve energy levels.', 'Recommend lifestyle changes such as improved sleep hygiene and exercise.', 'Order extensive laboratory testing to rule out all possible medical conditions.', 'Refer the patient to a psychiatrist for evaluation of possible depression.', 'Treat any identified underlying causes of persistent fatigue.']",E,"History, including careful description of fatigue. Physical examination -> Evidence of physiologic fatigue -> Treat Underlying Cause of Persistent Fatigue -> Fatigue persists",fatigue
"A 52-year-old woman presents to her primary care physician complaining of persistent fatigue for the past 8 months. She reports no other specific symptoms, but the fatigue significantly interferes with her daily activities. Initial physical examination reveals no obvious abnormalities. According to the text, what is the most appropriate next step in evaluating her fatigue?",Thorough history and physical examination to identify potential underlying causes.,"['Prescribing a stimulant medication to improve energy levels.', 'Ordering a comprehensive metabolic panel.', 'Referring her to a psychiatrist for evaluation of depression.', 'Recommending lifestyle changes such as increased exercise and improved sleep hygiene.', 'Thorough history and physical examination to identify potential underlying causes.']",E,"History, including careful description of fatigue. Physical examination -> Chronic medical disease or exposure identified -> Treat Underlying Cause of Persistent Fatigue -> Fatigue persists",fatigue
"A 32-year-old man presents to his primary care physician complaining of persistent fatigue for the past 4 months. He denies any fever, weight loss, or recent travel. He mentions occasional unprotected sexual encounters. After taking a detailed history and performing a physical exam, what is the MOST appropriate next step in evaluating his fatigue?","Testing for HIV, syphilis, and hepatitis B and C.","['Initiate treatment for chronic fatigue syndrome.', 'Prescribe a trial of antidepressants.', 'Order Lyme disease and coccidioidomycosis serology.', 'Testing for HIV, syphilis, and hepatitis B and C.', 'Refer him to a rheumatologist for evaluation of fibromyalgia.']",D,"History, including careful description of fatigue. Physical examination -> Risk factor for sexually transmitted or bloodborne disease -> Testing for HIV, syphilis, and hepatitis B and C -> Treat Abnormal Results -> Disease-Specific Testing and Treatment",fatigue
"A 32-year-old woman presents to her primary care physician complaining of persistent fatigue for the past 7 months. She denies any fever, weight loss, or recent travel. She works as a librarian and reports no known exposure to toxins. Physical examination is unremarkable. She lives in Connecticut. According to the text, what would be the next best step in the management of her fatigue?",Test for Lyme disease,"['Order a complete blood count (CBC)', 'Prescribe a trial of antidepressants', 'Recommend a sleep study', 'Test for Lyme disease', 'Refer her to a psychiatrist']",D,"History, including careful description of fatigue. Physical examination -> Geographic risk factors -> Test for Lyme disease or coccidioidomycosis -> Treat Abnormal Results -> Disease-Specific Testing and Treatment",fatigue
"A 45-year-old female presents with persistent fatigue, widespread muscle aching, and multiple tender points on examination. After a thorough history and physical exam, fibromyalgia is suspected. What is the MOST appropriate next step in the evaluation of this patient?","Order CPK, CRP, ANA, and RF to screen for other rheumatologic conditions.","['Obtain a detailed psychosocial assessment.', 'Prescribe a trial of low-dose antidepressants.', 'Recommend physical therapy and exercise.', 'Order an MRI of the brain to rule out neurological causes.', 'Order CPK, CRP, ANA, and RF to screen for other rheumatologic conditions.']",E,"History, including careful description of fatigue. Physical examination -> Findings consistent with fibromyalgia -> CPK, CRP, ANA, RF -> Abnormal results -> Evaluate for specific illness",fatigue
"A 52-year-old male presents to your clinic complaining of persistent fatigue for the past 7 months. He denies any specific medical illness, but reports daytime hypersomnolence and his wife mentions he snores loudly at night. What is the MOST appropriate next step in managing this patient's fatigue?",Refer the patient for a sleep disorders evaluation.,"['Order a complete blood count (CBC) and comprehensive metabolic panel (CMP).', 'Prescribe a trial of stimulant medication to combat daytime sleepiness.', 'Recommend lifestyle changes, such as improved sleep hygiene and regular exercise.', 'Perform a thorough psychosocial assessment for possible psychiatric causes.', 'Refer the patient for a sleep disorders evaluation.']",E,"History, including careful description of fatigue. Physical examination -> No specific medical illness identified -> Daytime hypersomnolence, snoring, or other symptoms of sleep apnea -> Refer for sleep disorders evaluation",fatigue
"A 45-year-old woman presents to her primary care physician complaining of persistent fatigue for the past 7 months that interferes with her daily activities. She denies any fever, weight loss, or recent travel. Physical examination is unremarkable. Considering the possible underlying causes of her fatigue, what is the MOST appropriate next step in the evaluation, assuming initial history and physical exam did not reveal an obvious cause?","Order a complete blood count (CBC), thyroid-stimulating hormone (TSH), electrolytes, creatinine, liver enzymes, and erythrocyte sedimentation rate (ESR).","['Prescribe a trial of antidepressants to address potential psychiatric causes.', 'Refer her to a sleep specialist for evaluation of possible sleep disorders.', 'Order Lyme disease and coccidioidomycosis serology.', 'Reassure her that fatigue is common and advise lifestyle modifications such as improved sleep hygiene and regular exercise.', 'Order a complete blood count (CBC), thyroid-stimulating hormone (TSH), electrolytes, creatinine, liver enzymes, and erythrocyte sedimentation rate (ESR).']",E,"History, including careful description of fatigue. Physical examination -> Geographic risk factors -> Test for Lyme disease or coccidioidomycosis -> Normal results -> CBC, thyroid-stimulating hormone, electrolytes, creatinine, liver enzymes, ESR -> Abnormal results: evaluate and treat",fatigue
"A 34-year-old woman presents to her primary care physician complaining of persistent fatigue for the past 7 months. She describes the fatigue as overwhelming exhaustion that interferes with her daily activities. Physical examination reveals multiple tender points, and fibromyalgia is suspected. Initial laboratory tests, including CPK, CRP, ANA, and RF, come back normal. According to the text, what should be the next step in evaluating her fatigue?","Order CBC, thyroid-stimulating hormone, electrolytes, creatinine, liver enzymes, and ESR, and evaluate and treat any abnormalities found.","['Reassure the patient that her symptoms are likely due to a psychiatric condition and refer her to a mental health professional.', 'Prescribe a trial of antidepressants to address potential underlying depression.', 'Recommend lifestyle modifications, such as improved sleep hygiene and regular exercise.', 'Order CBC, thyroid-stimulating hormone, electrolytes, creatinine, liver enzymes, and ESR, and evaluate and treat any abnormalities found.', 'Perform a detailed psychosocial assessment to identify potential stressors or psychological factors contributing to her fatigue.']",D,"History, including careful description of fatigue. Physical examination -> Findings consistent with fibromyalgia -> CPK, CRP, ANA, RF -> Normal results -> CBC, thyroid-stimulating hormone, electrolytes, creatinine, liver enzymes, ESR -> Abnormal results: evaluate and treat",fatigue
