question,answer,options,correct_option,path,condition
"A 72-year-old male presents with new onset tremor, rigidity, and bradykinesia. His medical history includes hypertension, for which he takes amlodipine and metoprolol. He also takes prochlorperazine as needed for nausea. Examination reveals cogwheel rigidity and a resting tremor in his right hand. What is the most appropriate next step in management?",Review the patient's medication list and discontinue prochlorperazine if possible.,"['Initiate levodopa/carbidopa therapy.', 'Order a DAT scan to confirm Parkinson's disease.', 'Prescribe amantadine to manage the tremor.', 'Refer the patient for deep brain stimulation (DBS) evaluation.', 'Review the patient's medication list and discontinue prochlorperazine if possible.']",E,"History, Physical examination -> Drug-induced parkinsonism -> Stop drugs if possible",parkinson’s disease
"A 68-year-old patient presents with a 1-year history of progressive bradykinesia, rigidity, and postural instability. After initial evaluation, the patient is started on levodopa/carbidopa. While there is some initial improvement, the patient's symptoms do not significantly improve even with increasing doses. What condition should be suspected?",Striatonigral degeneration.,"['Drug-induced parkinsonism.', 'Essential tremor.', 'Striatonigral degeneration.', 'Progressive supranuclear palsy.', 'Corticobasal degeneration.']",C,"History, Physical examination -> Give Levodopa -> Striatonigral degeneration",parkinson’s disease
"A 62-year-old male is diagnosed with idiopathic Parkinson's disease after exhibiting resting tremor, rigidity, and bradykinesia. He is started on levodopa/carbidopa, which provides some symptomatic relief. Considering potential neuroprotective benefits, which of the following medications could be added to his treatment regimen?",Selegiline.,"['Amantadine.', 'Benztropine.', 'Selegiline.', 'Entacapone.', 'Ropinirole.']",C,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Selegiline",parkinson’s disease
"A 55-year-old male is diagnosed with early-stage Parkinson's disease. His primary symptoms are mild bradykinesia and tremor, which cause him some embarrassment at work. After confirming the diagnosis and ruling out other causes, what is the most appropriate initial pharmacological treatment if symptoms are causing disability and embarrassment and the patient is relatively young?",Direct Dopaminergic Agonists and assess response.,"['Initiate high-dose levodopa/carbidopa.', 'Start with amantadine monotherapy.', 'Prescribe anticholinergic medication.', 'Direct Dopaminergic Agonists and assess response.', 'Refer for deep brain stimulation (DBS).']",D,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Direct Dopaminergic Agonists -> Sufficient response",parkinson’s disease
"A 75-year-old male is diagnosed with Parkinson's disease. He experiences significant bradykinesia and rigidity, affecting his ability to perform daily activities. After confirming the diagnosis, Levodopa/Carbidopa is initiated, and he experiences a good response. What is the next step in management?",Continue Levodopa/Carbidopa and monitor for side effects and symptom control.,"['Discontinue Levodopa/Carbidopa due to potential long-term side effects.', 'Add a COMT inhibitor to the regimen immediately.', 'Reduce the dose of Levodopa/Carbidopa to the lowest possible dose.', 'Continue Levodopa/Carbidopa and monitor for side effects and symptom control.', 'Refer for deep brain stimulation (DBS) evaluation.']",D,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Levodopa/Carbidopa -> Sufficient response",parkinson’s disease
"A 60-year-old male with Parkinson's disease initially responded well to a dopamine agonist, but now experiences breakthrough symptoms causing disability. What is the next step in management?",Add Levodopa/Carbidopa to the existing dopamine agonist therapy.,"['Discontinue the dopamine agonist and switch to amantadine.', 'Increase the dose of the dopamine agonist to the maximum tolerated dose.', 'Add Levodopa/Carbidopa to the existing dopamine agonist therapy.', 'Refer for deep brain stimulation (DBS).', 'Start the patient on a COMT inhibitor.']",C,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Direct Dopaminergic Agonists -> Add Dopamine Agonists",parkinson’s disease
"A 78-year-old patient with Parkinson's disease has been managed with levodopa/carbidopa for five years, with good initial control of symptoms. However, they are now experiencing motor fluctuations and dyskinesias that are impacting their quality of life. After optimizing the levodopa/carbidopa dosing schedule, what would be the next appropriate step in management?",Add a dopamine agonist to the levodopa/carbidopa regimen.,"['Increase the frequency of levodopa/carbidopa dosing.', 'Add a dopamine agonist to the levodopa/carbidopa regimen.', 'Refer for immediate deep brain stimulation (DBS).', 'Discontinue levodopa/carbidopa and switch to amantadine.', 'Prescribe an anticholinergic medication.']",B,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Levodopa/Carbidopa -> Add Dopamine Agonists",parkinson’s disease
"A 58-year-old male with Parkinson's disease was initially treated with a dopamine agonist. However, he developed intolerable side effects, including severe nausea and hallucinations. What is the most appropriate next step in managing his medication?",Discontinue the current dopamine agonist and initiate levodopa/carbidopa therapy.,"['Reduce the dose of the dopamine agonist and add amantadine.', 'Continue the dopamine agonist at the same dose and add an antiemetic.', 'Discontinue the current dopamine agonist and initiate levodopa/carbidopa therapy.', 'Refer for deep brain stimulation (DBS).', 'Add a COMT inhibitor to the dopamine agonist.']",C,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Direct Dopaminergic Agonists -> Discontinue and Add Dopamine Agonists",parkinson’s disease
"A 68-year-old patient with Parkinson's disease has been taking levodopa/carbidopa for several years, but now experiences significant motor fluctuations and dyskinesias. Despite adjusting the levodopa/carbidopa dosing, the symptoms persist and impact their quality of life. Which of the following is the most appropriate next step in management if the patient is experiencing intolerable side effects from Levodopa/Carbidopa?",Discontinue levodopa/carbidopa and initiate dopamine agonist therapy.,"['Increase the levodopa/carbidopa dose and add amantadine.', 'Discontinue levodopa/carbidopa and initiate dopamine agonist therapy.', 'Refer for deep brain stimulation (DBS).', 'Add a COMT inhibitor to the levodopa/carbidopa regimen.', 'Prescribe an anticholinergic medication.']",B,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Levodopa/Carbidopa -> Discontinue and Add Dopamine Agonists",parkinson’s disease
"A 70-year-old male presents with symptoms suggestive of Parkinson's disease, including bradykinesia, rigidity, and postural instability. During the neurological examination, the physician notes prominent vertical gaze palsy. What does this specific finding suggest?",Progressive supranuclear palsy.,"['Drug-induced parkinsonism.', 'Essential tremor.', 'Progressive supranuclear palsy.', 'Multiple system atrophy.', 'Corticobasal degeneration.']",C,"History, Physical examination -> Specific findings indicate type of secondary PD",parkinson’s disease
"A 45-year-old male presents to the clinic complaining of chest pain that is similar to cardiac chest pain, but he has normal coronary arteries based on recent cardiac catheterization. After initial assessment, the physician administers a double dose of proton pump inhibitor twice daily for 14 days. The patient reports significant improvement in his chest pain symptoms with the PPI treatment. What is the next step in management?",Treat the patient for gastroesophageal reflux disease.,"['Order an upper endoscopy to rule out structural abnormalities.', 'Perform ambulatory pH monitoring to confirm GERD.', 'Treat the patient for gastroesophageal reflux disease.', 'Perform esophageal manometry to evaluate for motility disorders.', 'Perform provocative testing with acid perfusion.']",C,Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient responds to PPI treatment -> Treat the patient for gastroesophageal reflux disease,noncardiac chest pain
A 52-year-old female with a history of cardiac-type chest pain and normal coronary arteries does not respond to a 14-day trial of high-dose PPI. An endoscopy reveals no structural abnormalities. Provocative testing does not induce chest pain. 24-hour pH monitoring demonstrates correlation between chest pain episodes and esophageal acid exposure. What is the most appropriate next step in management?,Treat the patient for gastroesophageal reflux disease.,"['Start the patient on an antidepressant.', 'Initiate calcium channel blockers for possible esophageal spasm.', 'Treat the patient for gastroesophageal reflux disease.', 'Refer the patient for cardiac rehabilitation.', 'Perform esophageal manometry.']",C,"Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient does not respond to PPI treatment -> Perform an endoscopy -> No pain induced during provocative testing -> Conduct 24-hour pH monitoring -> Chest pain correlates with low pH -> Esophageal cause, likely GERD -> Treat the patient for gastroesophageal reflux disease",noncardiac chest pain
A 60-year-old male presents with recurrent episodes of cardiac-type chest pain despite having normal coronary arteries. He does not respond to a trial of high-dose PPIs. An endoscopy reveals an esophageal stricture. What is the next appropriate step in management?,Treat the patient based on the specific abnormality found during endoscopy.,"['Perform esophageal manometry.', 'Treat the patient based on the specific abnormality found during endoscopy.', 'Initiate a tricyclic antidepressant.', 'Perform ambulatory pH monitoring.', 'Refer the patient for cardiac rehabilitation.']",B,Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient does not respond to PPI treatment -> Perform an endoscopy -> Abnormality found during endoscopy -> Treat based on the specific motility disorder,noncardiac chest pain
A 48-year-old female presents with recurrent cardiac-type chest pain despite having normal coronary arteries. She has not responded to PPIs. Endoscopy and 24-hour pH monitoring are normal. Esophageal manometry reveals nonspecific motility disorder. Provocative testing with balloon distention reproduces her chest pain. What is the next best step in management?,Treat the patient based on the specific motility disorder.,"['Initiate a calcium channel blocker.', 'Treat the patient based on the specific motility disorder.', 'Start the patient on a trial of nitrates.', 'Refer the patient for cardiac rehabilitation.', 'Begin a course of cognitive behavioral therapy.']",B,"Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient does not respond to PPI treatment -> Perform an endoscopy -> No pain induced during provocative testing -> Conduct 24-hour pH monitoring -> pH levels are normal -> Perform manometry -> Manometry results are normal or show a nonspecific motility disorder -> Perform provocative testing (Bernstein, Tensilar, Balloon Distention) -> Chest pain induced during provocative testing -> Esophageal cause of chest pain is likely -> Treat based on the specific motility disorder",noncardiac chest pain
A 55-year-old female presents with recurrent episodes of cardiac-type chest pain despite having normal coronary arteries. She has not responded to PPIs. Endoscopy and 24-hour pH monitoring are normal. Esophageal manometry reveals diffuse esophageal spasm. What is the most appropriate next step in management?,Treat the patient based on the specific motility disorder.,"['Initiate a trial of high-dose H2 receptor antagonists.', 'Treat the patient based on the specific motility disorder.', 'Start the patient on a tricyclic antidepressant.', 'Refer the patient for cardiac rehabilitation.', 'Begin a course of cognitive behavioral therapy.']",B,Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient does not respond to PPI treatment -> Perform an endoscopy -> No pain induced during provocative testing -> Conduct 24-hour pH monitoring -> pH levels are normal -> Perform manometry -> Specific motility disorders found -> Treat based on the specific motility disorder,noncardiac chest pain
"A 50-year-old male presents with recurrent cardiac-type chest pain, but cardiac workup, including angiography, is normal. He does not respond to a trial of high-dose PPIs. Endoscopy is normal, and provocative testing does not induce chest pain. What is the next appropriate step in management?",Reassure the patient.,"['Perform esophageal manometry.', 'Reassure the patient.', 'Start the patient on a trial of nitrates.', 'Refer the patient for cardiac rehabilitation.', 'Begin a course of cognitive behavioral therapy.']",B,Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient does not respond to PPI treatment -> Perform an endoscopy -> No pain induced during provocative testing -> Esophageal cause of chest pain is unlikely -> Reassure the patient,noncardiac chest pain
"A 46-year-old female presents with recurrent cardiac-type chest pain, but cardiac workup, including angiography, is normal. She does not respond to a trial of high-dose PPIs. Endoscopy is normal, and provocative testing does not induce chest pain. What is the next appropriate step in management?",Consider a trial of a tricyclic antidepressant.,"['Perform esophageal manometry.', 'Consider a trial of a tricyclic antidepressant.', 'Start the patient on a trial of nitrates.', 'Refer the patient for cardiac rehabilitation.', 'Reassure the patient and discharge.']",B,Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient does not respond to PPI treatment -> Perform an endoscopy -> No pain induced during provocative testing -> Esophageal cause of chest pain is unlikely -> Consider a trial of a tricyclic antidepressant,noncardiac chest pain
"A 58-year-old male presents with recurrent cardiac-type chest pain despite having normal coronary arteries. He has not responded to a 14-day trial of high-dose PPI. Endoscopy is normal, and provocative testing does not induce chest pain. 24-hour pH monitoring reveals frequent episodes of low pH, but these do not correlate with chest pain events. What is the next most appropriate step in management?",Initiate an empiric trial of treatment for GERD.,"['Initiate an empiric trial of treatment for GERD.', 'Perform esophageal manometry.', 'Start the patient on a tricyclic antidepressant.', 'Refer the patient for cardiac rehabilitation.', 'Reassure the patient.']",A,"Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient does not respond to PPI treatment -> Perform an endoscopy -> No pain induced during provocative testing -> Conduct 24-hour pH monitoring -> Low pH but not correlated with chest pain -> Possible esophageal cause, consider GERD -> Initiate an empiric trial of treatment for GERD",noncardiac chest pain
