question,answer,options,correct_option,path,condition
"A 45-year-old male presents with recurrent episodes of noncardiac chest pain despite normal coronary angiography. Initial assessment included a double dose of proton pump inhibitor twice daily for 14 days, but the patient did not respond. Subsequent endoscopy revealed no structural abnormalities or mucosal abnormalities. Provocative testing did not induce pain. 24-hour pH monitoring showed normal pH levels. What should be the next step in the management of this patient?",Perform manometry to assess for specific motility disorders.,"['Initiate a trial of calcium channel blockers', 'Perform manometry to assess for specific motility disorders.', 'Prescribe a tricyclic antidepressant for suspected esophageal hypersensitivity', 'Repeat endoscopy with biopsy to rule out eosinophilic esophagitis', 'Reassure the patient and recommend stress management techniques']",B,Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient does not respond to PPI treatment -> Perform an endoscopy -> No pain induced during provocative testing -> Conduct 24-hour pH monitoring -> pH levels are normal -> Perform manometry -> Specific motility disorders found -> Treat based on the specific motility disorder,noncardiac chest pain
"A 70-year-old male with a history of prior myocardial infarction presents with wide-complex tachycardia. Initial assessment does not reveal definitive signs of AV dissociation. The ECG shows a LBBB-type pattern (V1 negative) with a QRS duration of 170 ms, right axis deviation >90°, a broad R wave >40 ms in V1 with delayed R to S duration >100 ms, a Q wave in V6, and negative concordance. According to the guidelines, which of the following best describes the likely origin of the patient's wide-complex tachycardia?","Ventricular origin, based on LBBB-type morphology and specific ECG criteria.","['Supraventricular tachycardia with aberrant conduction, based on the absence of AV dissociation.', 'Atrial fibrillation with pre-excitation, given the wide QRS complex.', 'Supraventricular tachycardia, as the patient is hemodynamically stable.', 'Ventricular origin, based on RBBB-type morphology and specific ECG criteria.', 'Ventricular origin, based on LBBB-type morphology and specific ECG criteria.']",E,"Patient with WIDE-COMPLEX TACHYCARDIA -> Stable -> Evidence of AV dissociation? -> No -> Differentiate between LBBB- and RBBB-type patterns and apply morphologic analysis -> V1 negative (LBBB) -> QRS duration >160 ms, Right axis deviation >90°, V1: broad R >40 ms, delayed R to S duration >100 ms, V6: any Q wave, Negative concordance",wide-complex tachycardia
"A 52-year-old man is hospitalized for pneumonia. He was initially started on broad-spectrum antibiotics, but his condition has improved, and cultures have identified Streptococcus pneumoniae as the causative organism. Susceptibility testing is pending. Which of the following is the MOST appropriate next step in choosing antimicrobial therapy?","Assess the susceptibility data and, if reliable and the organism is sensitive, consider switching to a narrow-spectrum agent targeting Streptococcus pneumoniae.","['Continue the current broad-spectrum antibiotics until the patient is fully recovered.', 'Immediately switch to the most expensive antibiotic available to ensure the best outcome.', 'Discontinue antibiotics and monitor the patient’s condition without further intervention.', 'Add an additional antibiotic to cover potential resistant strains.', 'Assess the susceptibility data and, if reliable and the organism is sensitive, consider switching to a narrow-spectrum agent targeting Streptococcus pneumoniae.']",E,Patient for ANTIMICROBIAL THERAPY -> Definitive therapy -> Culture and sensitivity data -> Assess response to previous therapy -> Continued therapy needed -> Evaluate sensitivity data -> Organism sensitive Sensitivity reliable -> No need to cover other organisms -> Consider: Narrow-spectrum agents -> Assess: Agent's ability to reach infection site Clinical trials demonstrating efficacy for organism and disease Toxicity relative to severity of infection Cost-effectiveness -> Choose agent and appropriate dose -> Develop monitoring plan for efficacy and toxicity -> Evaluate response in 48-72 hr -> Positive response -> Assess cultures -> Positive -> Definitive Therapy,choosing appropriate antimicrobial therapy
A 70-year-old male presents to the emergency department with complete anuria for 24 hours. Initial urinalysis reveals white blood cells and WBC casts. Urine culture is negative. What is the MOST appropriate next step in the evaluation of this patient's acute renal failure?,Renal ultrasound to rule out obstruction,"['Administer a fluid bolus', 'Perform a renal biopsy', 'Start broad-spectrum antibiotics', 'Order a CT scan of the abdomen and pelvis', 'Renal ultrasound to rule out obstruction']",E,"Start of diagnosis -> Anuria -> Urinalysis -> WBCC, WBC casts -> Urine culture -> Negative results -> Renal US -> Obstruction",acute renal failure
"A 35-year-old female patient reports to her physician a persistent lack of interest in sexual activity, impacting her relationship with her partner. She also mentions feeling down and fatigued lately. After a detailed history and physical examination, what is the most likely underlying cause that needs to be addressed first?",Depression,"['Hypogonadism', 'Relationship stress', 'Medication side effect', 'Hypothyroidism', 'Depression']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Depression",sexual dysfunction
"A 33-year-old woman reports to her physician a persistent lack of interest in sexual activity, causing distress in her relationship. She denies any medical conditions but admits to feeling overwhelmed by work and family responsibilities. She also mentions occasional feelings of sadness and hopelessness. After a detailed history and physical examination, which of the following is the MOST appropriate NEXT step in managing her hypoactive sexual desire?",Initiate marital/sex therapy to address potential relationship issues and improve sexual communication.,"['Prescribe a trial of testosterone replacement therapy.', 'Recommend immediate psychiatric referral for evaluation of depression.', 'Start her on a low-dose SSRI to address potential mood issues.', 'Advise her to focus on stress reduction techniques and lifestyle modifications.', 'Initiate marital/sex therapy to address potential relationship issues and improve sexual communication.']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Other psychological problems -> Marital/sex therapy -> Depression",sexual dysfunction
"A 45-year-old woman reports decreased libido and difficulty achieving orgasm, impacting her relationship. She denies any medical conditions but admits to feeling increasingly stressed and fatigued due to work and family responsibilities. Physical examination is unremarkable. What is the MOST appropriate next step in evaluating her sexual dysfunction?",Initiate marital/sex therapy to address potential relationship issues and improve communication.,"['Prescribe a trial of testosterone replacement therapy.', 'Order a comprehensive hormonal panel to rule out endocrine disorders.', 'Recommend regular exercise and stress-reduction techniques.', 'Prescribe a selective serotonin reuptake inhibitor (SSRI) to address potential underlying depression.', 'Initiate marital/sex therapy to address potential relationship issues and improve communication.']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Marital/sex therapy -> Depression",sexual dysfunction
A 45-year-old female patient reports to her physician complaining of decreased libido and fatigue for the past six months. She denies any significant medical history but admits to experiencing increased stress at work. What is the most appropriate next step in evaluating her hypoactive sexual desire?,Obtain a detailed sexual history and perform a focused physical examination.,"['Prescribe a trial of hormone replacement therapy.', 'Immediately refer her to a psychiatrist.', 'Order routine serologic screening for endocrine disorders.', 'Recommend over-the-counter lubricants.', 'Obtain a detailed sexual history and perform a focused physical examination.']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Fatigue",sexual dysfunction
A 45-year-old female patient reports a persistent lack of sexual desire that is impacting her relationship. She denies any significant medical conditions but admits to feeling stressed due to work and family responsibilities. She is currently not taking any medications. What is the most appropriate next step in managing her hypoactive sexual desire?,"Initiate medical therapy, such as hormone replacement therapy or androgen replacement therapy, after weighing the benefits against the risks.","['Prescribe a trial of sildenafil to assess for improved sexual response.', 'Immediately refer her to a sex therapist without further evaluation.', 'Order routine serologic screening for endocrine disorders.', 'Advise her to increase sexual stimulation and use the pause-squeeze technique.', 'Initiate medical therapy, such as hormone replacement therapy or androgen replacement therapy, after weighing the benefits against the risks.']",E,"Detailed history, including sexual history Focused physical examination -> Female patient -> Hypoactive sexual desire -> Medical Therapy as Appropriate",sexual dysfunction
"A 32-year-old woman reports pain during initial penetration, which she describes as sharp and localized. She denies any history of trauma or abuse. Physical examination reveals no signs of infection or inflammation. What is the MOST appropriate next step in evaluating her dyspareunia?",Gynecologic evaluation to rule out conditions like endometriosis or pelvic adhesions.,"['Prescribing topical estrogen cream.', 'Recommending over-the-counter lubricants.', 'Suggesting sex therapy for vaginismus.', 'Gynecologic evaluation to rule out conditions like endometriosis or pelvic adhesions.', 'Initiating treatment for pelvic inflammatory disease.']",D,"Detailed history, including sexual history Focused physical examination -> Female patient -> Dyspareunia -> Insertional -> Endometriosis, Pelvic adhesions, Uterine fibroids, Symptomatic uterine retroversion, Pelvic inflammatory disease, Gynecologic malignancies -> Erections absent or inadequate -> Medical Therapy as Appropriate",sexual dysfunction
