question,answer,options,correct_option,path,condition
"A 72-year-old male presents with symptoms of Parkinson's disease, including tremor, rigidity, and bradykinesia, but his history reveals he recently started taking metoclopramide for gastroparesis. What is the most appropriate initial step in managing his condition?",Discontinue metoclopramide and assess for symptom improvement.,"[""'Discontinue metoclopramide and assess for symptom improvement.'"", ""'Prescribe amantadine to manage dyskinesias.'"", ""'Refer for deep brain stimulation (DBS) evaluation.'"", ""'Initiate levodopa/carbidopa therapy.'"", ""'Start a dopamine agonist such as pramipexole.'""]",A,"History, Physical examination -> Drug-induced parkinsonism -> Stop drugs if possible",parkinson’s disease
"A 70-year-old patient presents with resting tremor, bradykinesia, and rigidity, leading to a suspected diagnosis of Parkinson's disease. After initial evaluation, levodopa is prescribed. If the patient's condition progresses despite this treatment, which of the following underlying pathologies is most likely?",Striatonigral degeneration,"['Lewy body dementia', 'Striatonigral degeneration', 'Corticobasal degeneration', 'Multiple system atrophy', 'Progressive supranuclear palsy']",B,"History, Physical examination -> Give Levodopa -> Striatonigral degeneration",parkinson’s disease
"A 68-year-old male presents with a resting tremor, bradykinesia, and rigidity, leading to a diagnosis of Parkinson's disease. Initial treatment with levodopa shows improvement, but the patient's symptoms are not fully controlled. Given the possible neuroprotective benefits, which of the following medications should be considered as an adjunct therapy?",Selegiline,"[""'Selegiline'"", ""'Benztropine'"", ""'Entacapone'"", ""'Amantadine'"", ""'Trihexyphenidyl'""]",A,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Selegiline",parkinson’s disease
"A 68-year-old patient presents with a recent diagnosis of idiopathic Parkinson's disease. After a thorough history and physical examination, the decision is made to initiate treatment. Considering the patient's age and the goal of minimizing cognitive side effects, which of the following would be the MOST appropriate initial therapeutic approach?",Initiate treatment with levodopa/carbidopa.,"['Initiate treatment with levodopa/carbidopa.', 'Start with high dosages of coenzyme Q10.', 'Begin with amantadine monotherapy.', 'Prescribe bromocriptine.', 'Start with ropinirole.']",A,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Direct Dopaminergic Agonists -> Sufficient response",parkinson’s disease
"A 72-year-old patient presents with resting tremor, bradykinesia, and rigidity, leading to a suspected diagnosis of idiopathic Parkinson's Disease (PD). After a thorough history and physical examination, what is the MOST appropriate initial treatment approach if the patient's symptoms are causing significant disability?",Initiate treatment with Levodopa/Carbidopa and monitor the patient's response.,"['Initiate treatment with Levodopa/Carbidopa and monitor the patient's response.', 'Prescribe an anticholinergic medication to manage the tremor.', 'Start with a low dose of Amantadine to improve motor function.', 'Recommend immediate deep brain stimulation (DBS) surgery.', 'Begin physical therapy and delay pharmacological intervention.']",A,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Levodopa/Carbidopa -> Sufficient response",parkinson’s disease
"A 68-year-old male presents with a resting tremor, bradykinesia, and rigidity, suggestive of Parkinson's disease. Initial treatment with levodopa improves his motor symptoms, but he develops disabling motor fluctuations and dyskinesias. Considering his age and the need for additional symptomatic control, what is the MOST appropriate next step in managing his Parkinson's disease?",Initiate treatment with a dopamine agonist to augment the effects of levodopa.,"['Discontinue levodopa and switch to a high-dose dopamine agonist.', 'Increase the dose of levodopa/carbidopa.', 'Initiate treatment with a dopamine agonist to augment the effects of levodopa.', 'Refer the patient for deep brain stimulation (DBS).', 'Prescribe amantadine for dyskinesias.']",C,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Direct Dopaminergic Agonists -> Add Dopamine Agonists",parkinson’s disease
"A 68-year-old male presents with a resting tremor, bradykinesia, and rigidity, consistent with Parkinson's disease. He is started on levodopa/carbidopa, but his symptoms are not adequately controlled, leading to significant disability. What would be the next appropriate step in managing his Parkinson's disease?",Add a dopamine agonist to the levodopa/carbidopa regimen.,"[""'Add a dopamine agonist to the levodopa/carbidopa regimen.'"", ""'Initiate deep brain stimulation (DBS).'"", ""'Add a COMT inhibitor such as entacapone.'"", ""'Start amantadine to manage dyskinesias.'"", ""'Increase the dose of levodopa/carbidopa.'""]",A,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Levodopa/Carbidopa -> Add Dopamine Agonists",parkinson’s disease
"A 62-year-old male presents with a recent diagnosis of idiopathic Parkinson's Disease. Initial treatment with levodopa effectively managed his symptoms. However, he now experiences persistent symptoms causing disability despite optimized levodopa dosage. What is the MOST appropriate next step in managing this patient's Parkinson's disease?",Discontinue Levodopa and add Dopamine Agonists,"['Increase the dosage of levodopa/carbidopa', 'Initiate treatment with selegiline for potential neuroprotective benefits', 'Discontinue Levodopa and add Dopamine Agonists', 'Refer the patient for deep brain stimulation (DBS) evaluation', 'Add a COMT inhibitor to the levodopa/carbidopa regimen']",C,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Direct Dopaminergic Agonists -> Discontinue and Add Dopamine Agonists",parkinson’s disease
"A 68-year-old male with a 10-year history of Parkinson's disease is experiencing disabling motor fluctuations and dyskinesias despite being on levodopa/carbidopa. After history and physical examination, the physician decides to change the treatment. Which of the following is the MOST appropriate next step in managing this patient's medication?",Discontinue levodopa/carbidopa and initiate dopamine agonist monotherapy.,"['Continue levodopa/carbidopa at the same dose and add amantadine.', 'Increase the dose of levodopa/carbidopa.', 'Discontinue levodopa/carbidopa and initiate dopamine agonist monotherapy.', 'Reduce the dose of levodopa/carbidopa and add a COMT inhibitor.', 'Refer the patient for deep brain stimulation (DBS) surgery.']",C,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Levodopa/Carbidopa -> Discontinue and Add Dopamine Agonists",parkinson’s disease
"A 70-year-old patient presents with a resting tremor, bradykinesia, and cogwheel rigidity. After a thorough history and physical examination, specific findings suggest a type of secondary Parkinsonism. Which of the following steps is MOST appropriate in determining the underlying cause?",Reviewing the patient's medication list and history of exposure to toxins or other relevant medical conditions.,"[""'Reviewing the patient's medication list and history of exposure to toxins or other relevant medical conditions.'"", ""'Immediately ordering a DaTscan to confirm dopaminergic neuron loss.'"", ""'Performing genetic testing for common Parkinson's disease mutations.'"", ""'Initiating levodopa/carbidopa therapy to assess responsiveness.'"", ""'Referring the patient for deep brain stimulation (DBS) evaluation.'""]",A,"History, Physical examination -> Specific findings indicate type of secondary PD",parkinson’s disease
