question,answer,options,correct_option,path,condition
"A 70-year-old patient presents with resting tremor, bradykinesia, and rigidity, leading to a suspected diagnosis of Parkinson's disease. After initial evaluation, levodopa is prescribed. If the patient's condition progresses despite this treatment, which of the following underlying pathologies is most likely?",Striatonigral degeneration,"['Progressive supranuclear palsy', 'Multiple system atrophy', 'Corticobasal degeneration', 'Striatonigral degeneration', 'Lewy body dementia']",D,"History, Physical examination -> Give Levodopa -> Striatonigral degeneration",parkinson’s disease
"A 68-year-old patient presents with a recent diagnosis of idiopathic Parkinson's disease. After a thorough history and physical examination, the decision is made to initiate treatment. Considering the patient's age and the goal of minimizing cognitive side effects, which of the following would be the MOST appropriate initial therapeutic approach?",Initiate treatment with levodopa/carbidopa.,"['Initiate treatment with levodopa/carbidopa.', 'Begin with amantadine monotherapy.', 'Prescribe bromocriptine.', 'Start with ropinirole.', 'Start with high dosages of coenzyme Q10.']",A,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Direct Dopaminergic Agonists -> Sufficient response",parkinson’s disease
"A 68-year-old male presents with a resting tremor, bradykinesia, and rigidity, consistent with Parkinson's disease. He is started on levodopa/carbidopa, but his symptoms are not adequately controlled, leading to significant disability. What would be the next appropriate step in managing his Parkinson's disease?",Add a dopamine agonist to the levodopa/carbidopa regimen.,"['Add a dopamine agonist to the levodopa/carbidopa regimen.', 'Start amantadine to manage dyskinesias.', 'Initiate deep brain stimulation (DBS).', 'Add a COMT inhibitor such as entacapone.', 'Increase the dose of levodopa/carbidopa.']",A,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Levodopa/Carbidopa -> Add Dopamine Agonists",parkinson’s disease
"A 62-year-old male presents with a recent diagnosis of idiopathic Parkinson's Disease. Initial treatment with levodopa effectively managed his symptoms. However, he now experiences persistent symptoms causing disability despite optimized levodopa dosage. What is the MOST appropriate next step in managing this patient's Parkinson's disease?",Discontinue Levodopa and add Dopamine Agonists,"['Increase the dosage of levodopa/carbidopa', 'Refer the patient for deep brain stimulation (DBS) evaluation', 'Initiate treatment with selegiline for potential neuroprotective benefits', 'Discontinue Levodopa and add Dopamine Agonists', 'Add a COMT inhibitor to the levodopa/carbidopa regimen']",D,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Direct Dopaminergic Agonists -> Discontinue and Add Dopamine Agonists",parkinson’s disease
"A 68-year-old male with a 10-year history of Parkinson's disease is experiencing disabling motor fluctuations and dyskinesias despite being on levodopa/carbidopa. After history and physical examination, the physician decides to change the treatment. Which of the following is the MOST appropriate next step in managing this patient's medication?",Discontinue levodopa/carbidopa and initiate dopamine agonist monotherapy.,"['Discontinue levodopa/carbidopa and initiate dopamine agonist monotherapy.', 'Increase the dose of levodopa/carbidopa.', 'Reduce the dose of levodopa/carbidopa and add a COMT inhibitor.', 'Continue levodopa/carbidopa at the same dose and add amantadine.', 'Refer the patient for deep brain stimulation (DBS) surgery.']",A,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Levodopa/Carbidopa -> Discontinue and Add Dopamine Agonists",parkinson’s disease
"A 45-year-old male presents to the clinic with recurrent episodes of noncardiac chest pain. His ECG and cardiac enzymes are normal, and a recent coronary angiogram showed no significant blockages. After an initial assessment, a double dose of proton pump inhibitor twice daily for 14 days was administered, but the patient reports no improvement in his symptoms. An endoscopy revealed no structural abnormalities or mucosal damage. Provocative testing did not induce any pain. What is the MOST appropriate next step in managing this patient's chest pain?",Perform 24-hour pH monitoring to correlate chest pain events with reflux events.,"['Order an esophageal manometry to assess for motility disorders.', 'Initiate a trial of anti-anxiety medication.', 'Refer the patient for a psychiatric evaluation.', 'Perform 24-hour pH monitoring to correlate chest pain events with reflux events.', 'Prescribe a calcium channel blocker to treat possible microvascular angina.']",D,"Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient does not respond to PPI treatment -> Perform an endoscopy -> No pain induced during provocative testing -> Conduct 24-hour pH monitoring -> Chest pain correlates with low pH -> Esophageal cause, likely GERD -> Treat the patient for gastroesophageal reflux disease",noncardiac chest pain
"A 55-year-old male with a history of noncardiac chest pain and normal coronary arteries has been unresponsive to a double dose of proton pump inhibitor twice daily for 14 days. An endoscopy revealed no structural abnormalities, and provocative testing during endoscopy did not induce pain. Subsequent 24-hour pH monitoring showed normal pH levels. Manometry results were also normal. What is the MOST appropriate next step in evaluating the cause of his chest pain?","Perform provocative testing (Bernstein, Tensilon, Balloon Distention).","['Perform provocative testing (Bernstein, Tensilon, Balloon Distention).', 'Administer a calcium channel blocker.', 'Prescribe a tricyclic antidepressant.', 'Initiate a trial of nitroglycerin.', 'Repeat the endoscopy with biopsy.']",A,"Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient does not respond to PPI treatment -> Perform an endoscopy -> No pain induced during provocative testing -> Conduct 24-hour pH monitoring -> pH levels are normal -> Perform manometry -> Manometry results are normal or show a nonspecific motility disorder -> Perform provocative testing (Bernstein, Tensilar, Balloon Distention) -> Chest pain induced during provocative testing -> Esophageal cause of chest pain is likely -> Treat based on the specific motility disorder",noncardiac chest pain
"A 45-year-old woman with a history of anxiety presents to the clinic with recurrent episodes of noncardiac chest pain. Her coronary arteries were found to be normal during a previous workup. After initial assessment, she was treated with a double dose of proton pump inhibitor twice daily for 14 days, but her symptoms persisted. An endoscopy was performed, and provocative testing did not induce any pain. What is the next appropriate step in managing this patient's condition?",Reassure the patient,"['Repeat the endoscopy with biopsy', 'Reassure the patient', 'Initiate a trial of calcium channel blockers', 'Prescribe a tricyclic antidepressant', 'Perform ambulatory pH monitoring']",B,Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient does not respond to PPI treatment -> Perform an endoscopy -> No pain induced during provocative testing -> Esophageal cause of chest pain is unlikely -> Reassure the patient,noncardiac chest pain
A 55-year-old woman with a history of hypertension is found to have a 5 cm adrenal incidentaloma during an abdominal CT scan for unrelated reasons. She denies any symptoms of hormone excess. What is the most appropriate next step in management?,Resection of the adrenal mass,"['Aldosterone-to-renin ratio measurement', 'Fine needle aspiration of the mass', 'Metanephrine testing', 'Resection of the adrenal mass', 'Observation with serial imaging']",D,"Initial assessment of a patient with adrenal incidentaloma -> Obtain patient's medical history -> Perform physical examination for signs of adrenal hyperfunction -> If mass is larger than 4 cm, resect",adrenal incidentaloma
A 54-year-old woman presents to her physician with a complaint of persistent hip pain that started insidiously a few months ago. She denies any recent trauma or injury to the hip area. Initial radiographs show no obvious abnormalities. What would be the most appropriate next step in management?,"Further imaging with MRI, CT, or bone scan.","['Recommend hip joint aspiration', 'Prescribe opioid pain medication', 'Further imaging with MRI, CT, or bone scan.', 'Initiate physical therapy and NSAIDs', 'Order an electromyography (EMG)']",C,"Patient with HIP PAIN -> No history of trauma -> Radiography -> Diagnosis uncertain -> MRI, CT, or bone scan",hip pain
"A 54-year-old woman presents with atraumatic hip pain that has progressively worsened over the past few weeks. Initial radiographs show no obvious fractures or dislocations, and the diagnosis remains uncertain. What is the MOST appropriate next step in management?",Consider image-guided hip aspiration,"['Initiate physical therapy', 'Refer to rheumatology for further evaluation', 'Order a bone scan', 'Prescribe NSAIDs and monitor response', 'Consider image-guided hip aspiration']",E,Patient with HIP PAIN -> No history of trauma -> Radiography -> Diagnosis uncertain -> Consider image-guided hip aspiration,hip pain
"A 50-year-old male presents with recurrent episodes of hypoglycemia, confirmed by a blood glucose level of 58 mg/dL during one such episode. He denies any history of diabetes or use of hypoglycemic medications. A supervised fasting test reveals a glucose level of 42 mg/dL, and subsequent insulin level is found to be 5 μU/mL. What is the most likely underlying cause of his hypoglycemia?",IGF-mediated Noninsulin-mediated hypoglycemia,"['Sulfonylurea overdose', 'Insulinoma', 'Reactive hypoglycemia', 'IGF-mediated Noninsulin-mediated hypoglycemia', 'Ethanol-induced hypoglycemia']",D,Symptoms -> Confirm glucose <60 mg/dl -> Patient not known to be diabetic -> Fasting glucose <45 mg/dl -> Insulin levels <6 μU/ml -> IGF-mediated Noninsulin-mediated hypoglycemia,hypoglycemia
"A 50-year-old woman with a history of bariatric surgery presents with sweating, anxiety, and palpitations approximately 2 hours after meals. Her blood glucose at the time of symptoms is 55 mg/dL. What is the MOST likely next step in management?",Consider surgical options to address postprandial hypoglycemia.,"['Prescribe a continuous glucose monitor to track glucose fluctuations.', 'Recommend frequent small meals with a focus on complex carbohydrates and protein.', 'Administer intravenous dextrose during symptomatic episodes.', 'Consider surgical options to address postprandial hypoglycemia.', 'Initiate treatment with acarbose to delay carbohydrate absorption.']",D,Symptoms -> Confirm glucose <60 mg/dl -> Postprandial hypoglycemia -> Surgery,hypoglycemia
"A 55-year-old male with no known history of diabetes reports experiencing sweating, tremors, and anxiety approximately 2 hours after meals. A recent blood glucose test taken during one of these episodes showed a level of 58 mg/dL. What is the most likely underlying cause of this patient's hypoglycemia?",Early diabetes mellitus,"['Early diabetes mellitus', 'Insulinoma', 'Ethanol-induced hypoglycemia', 'Advanced liver failure', 'Adrenal insufficiency']",A,Symptoms -> Confirm glucose <60 mg/dl -> Postprandial hypoglycemia -> Early diabetes,hypoglycemia
"A 52-year-old patient is admitted to the hospital with a suspected skin infection. The patient is stable and does not appear critically ill. According to the guidelines for choosing appropriate antimicrobial therapy, what is the most appropriate next step in management?",Await culture results before starting antimicrobial therapy.,"['Start empiric broad-spectrum antibiotics immediately.', 'Administer a dose of vancomycin.', 'Prescribe an oral antibiotic based on the most common skin pathogens.', 'Start empiric therapy with a narrow-spectrum antibiotic.', 'Await culture results before starting antimicrobial therapy.']",E,Patient for ANTIMICROBIAL THERAPY -> Empiric therapy not needed -> Await culture results -> Definitive Therapy,choosing appropriate antimicrobial therapy
"A 52-year-old male with a history of intravenous drug use presents to the emergency department with fever, chills, and a new heart murmur. Blood cultures are drawn, and empiric antimicrobial therapy is initiated. According to guidelines for antimicrobial therapy, what is the MOST important next step in managing this patient?",Assess cultures,"['Evaluate patient-specific factors', 'Obtain body fluids for staining, culture', 'Determine agents most likely to be effective', 'Assess cultures', 'Choose regimen and dose']",D,"Patient for ANTIMICROBIAL THERAPY -> Empiric therapy -> Evidence of infection -> Presumed sites of infection -> Obtain body fluids for staining, culture -> Empiric therapy needed -> Determine most likely pathogens at site(s) of infection; current and future local microbial resistance factors -> Evaluate patient-specific factors Choose route of administration -> Assess need for combination therapy -> Determine agents most likely to be effective -> Assess cost-effectiveness of potential choices -> Drugs on formulary -> Choose regimen and dose -> Develop monitoring plan for efficacy and toxicity -> Evaluate response in 48-72 hr -> Positive response -> Assess cultures -> Negative -> Continue Empiric Therapy",choosing appropriate antimicrobial therapy
"A 53-year-old male with a history of intravenous drug use is admitted to the hospital with suspected endocarditis. After blood cultures are drawn, empiric antimicrobial therapy is initiated. Considering the principles of antimicrobial stewardship, what is the MOST appropriate next step in managing this patient's antibiotic regimen?",Transition to oral antibiotics as soon as the patient is stable and has adequate GI function.,"['Continue the current empiric therapy until culture results are available.', 'Transition to oral antibiotics as soon as the patient is stable and has adequate GI function.', 'Discontinue antibiotics after 72 hours if the patient shows no improvement.', 'Immediately switch to a narrow-spectrum antibiotic based on the Gram stain results.', 'Add a second antibiotic to broaden the coverage due to the severity of the infection.']",B,"Patient for ANTIMICROBIAL THERAPY -> Empiric therapy -> Evidence of infection -> Presumed sites of infection -> Obtain body fluids for staining, culture -> Empiric therapy needed -> Determine most likely pathogens at site(s) of infection; current and future local microbial resistance factors -> Evaluate patient-specific factors Choose route of administration -> Assess need for combination therapy -> Determine agents most likely to be effective -> Assess cost-effectiveness of potential choices -> Drugs on formulary -> Choose regimen and dose -> Develop monitoring plan for efficacy and toxicity -> Evaluate response in 48-72 hr -> Positive response -> Use Oral Agent as Soon as Possible -> Discontinue therapy when infection is cured -> Monitor for relapse",choosing appropriate antimicrobial therapy
A 45-year-old man with a history of hypertension is found to have a persistent positive urine dipstick for protein during a routine check-up. A subsequent 24-hour urine collection reveals a protein excretion of 4.0 g/day. What is the MOST appropriate next step in managing this patient?,Referral to a nephrologist for further evaluation and possible renal biopsy.,"['Referral to a nephrologist for further evaluation and possible renal biopsy.', 'Repeat the 24-hour urine collection to confirm the result.', 'Order a renal ultrasound to evaluate for structural abnormalities.', 'Prescribe a low-protein diet and reassess in 3 months.', 'Initiate treatment with an ACE inhibitor and monitor proteinuria.']",A,"Evaluation of proteinuria -> Urine dipstick -> Persistent positive dipstick Quantify protein excretion -> Significant proteinuria ≥300 mg/24 hr -> Continued on next page -> Nephrotic range proteinuria: ≥3.5 g/24 hr Nephrotic syndrome: edema, hypoalbuminemia, hyperlipidemia, lipiduria Evaluation for primary vs. secondary causes -> Renal insufficiency Hematuria without infection Persistent proteinuria Consideration for renal biopsy",proteinuria
"A 55-year-old woman presents with an enlarged thyroid gland (goiter) noticed during a routine physical exam. Her TSH and FT4 levels are within normal limits. On examination, a dominant thyroid nodule of 4.5 cm is palpated. She reports occasional difficulty swallowing, but no pain or shortness of breath. Which of the following is the most appropriate next step in management?",Consider surgical removal of the goiter.,"['Perform a fine needle aspiration (FNA) of the thyroid nodule.', 'Monitor TSH levels annually and observe for further growth.', 'Initiate thyroid hormone suppression therapy with levothyroxine.', 'Prescribe radioactive iodine (131I) therapy.', 'Consider surgical removal of the goiter.']",E,Patient with GOITER -> Physical examination -> Measure TSH and FT4 -> Euthyroid -> Assess for multinodular goiter -> Nodule >4 cm or patient has symptoms -> Consider: Surgery,goiter
"A 34-year-old woman presents to her physician with persistent bilateral nipple discharge. Her medical history is unremarkable, and she denies recent pregnancy or medication use. A fat stain test confirms the presence of milk fat in the discharge. After TSH and Prolactin levels resulted normal, what is the most appropriate next step in managing this patient?","Follow by yearly measurements of prolactin, and consider GH level if indicated.","['Order a breast ultrasound to evaluate for structural abnormalities', 'Obtain an MRI to rule out a pituitary mass', 'Prescribe dopamine agonists to suppress prolactin secretion', 'Follow by yearly measurements of prolactin, and consider GH level if indicated.', 'Perform galactography to visualize intraductal papillomas']",D,Patient with Nipple Discharge -> History with emphasis on medication -> Perform a fat stain test -> Galactorrhea -> Measure thyroid-stimulating hormone (TSH) -> Normal prolactin and TSH levels -> Follow by yearly measurements of prolactin. Consider GH level if indicated,nipple discharge
"A 35-year-old woman presents with spontaneous, unilateral nipple discharge. She denies recent pregnancy but admits to taking an antidepressant for the past year. After a thorough history, what is the MOST appropriate next step in evaluating her nipple discharge?",Perform a fat stain test on the discharge.,"['Perform a fat stain test on the discharge.', 'Order a mammogram', 'Measure serum prolactin levels', 'Schedule a galactography', 'Prescribe a course of antibiotics']",A,Patient with Nipple Discharge -> History with emphasis on medication -> Perform a fat stain test -> Nongalactorrheal discharge -> Consider cytology,nipple discharge
"A 45-year-old woman presents with persistent, spontaneous nipple discharge from her right breast. After taking a detailed medical history, a fat stain test is performed and comes back negative. A breast exam reveals no palpable masses. What is the MOST appropriate next step in management?",Perform mammography,"['Perform mammography', 'Perform galactography', 'Measure serum prolactin and TSH levels', 'Reassurance and observation', 'Surgical evaluation and biopsy']",A,Patient with Nipple Discharge -> History with emphasis on medication -> Perform a fat stain test -> Nongalactorrheal discharge -> No mass palpable -> Perform mammography -> Positive findings on mammography -> Surgical Evaluation and Biopsy,nipple discharge
"A 70-year-old male presents to the emergency department with fever, cough, and altered mental status. He has a history of diabetes and recent hospitalization for pneumonia. His vital signs are: T 38.5°C, HR 110 bpm, RR 24 breaths per minute, BP 90/60 mmHg, and SpO2 92% on room air. After initial assessment for sepsis, what is the MOST appropriate next step in management?",Obtain blood cultures from two separate sites and a chest radiograph to identify the source of infection.,"['Immediately start empiric broad-spectrum antibiotics.', 'Obtain blood cultures from two separate sites and a chest radiograph to identify the source of infection.', 'Insert a central venous catheter to monitor central venous pressure (CVP).', 'Check cortisol levels and administer replacement corticosteroids if indicated.', 'Administer a bolus of intravenous crystalloid fluids.']",B,Determine severity of patient's condition and treatment -> Assess possible source of infection,sepsis
"A 70-year-old male with a history of hypertension and type 2 diabetes is admitted to the ICU with suspected sepsis. He initially presented to the ER with fever, altered mental status, and hypotension. After initial resuscitation, he remains hypotensive, requiring vasopressors to maintain adequate MAP. Which of the following represents the MOST appropriate next step in the management of this patient?","Continue intensive monitoring and management, including checking cortisol levels, aggressive glycemic control, and correcting anemia, while considering activated protein C if bleeding risk is low.","['Order a CT scan of the abdomen to rule out intra-abdominal abscess.', 'Administer a bolus of intravenous fluids and reassess blood pressure.', 'Discontinue vasopressors and monitor for improvement in blood pressure.', 'Continue intensive monitoring and management, including checking cortisol levels, aggressive glycemic control, and correcting anemia, while considering activated protein C if bleeding risk is low.', 'Obtain blood cultures and start empiric antibiotic therapy.']",D,Determine severity of patient's condition and treatment -> Continued management in a monitored setting,sepsis
"A 70-year-old male presents to the emergency department with fever, confusion, and rapid breathing. He has a history of diabetes and a recent urinary tract infection. Initial assessment reveals a blood pressure of 90/60 mmHg, heart rate of 110 bpm, and a temperature of 38.5°C. Based on the initial assessment, what is the most appropriate next step in managing this patient?",Initiate broad-spectrum antibiotics within 60 minutes and obtain blood cultures from two separate sites.,"['Obtain a detailed medical history from family members.', 'Initiate broad-spectrum antibiotics within 60 minutes and obtain blood cultures from two separate sites.', 'Administer a bolus of intravenous fluids and reassess blood pressure.', 'Administer antipyretics to reduce the fever.', 'Order a CT scan of the abdomen to rule out intra-abdominal infection.']",B,Determine severity of patient's condition and treatment -> Treat Obvious Sources of Infection,sepsis
"A 58-year-old male with a history of benign prostatic hyperplasia presents to the emergency department with complete anuria for 24 hours. His abdomen is distended and tender to palpation. After initial stabilization, what is the most appropriate next step in the diagnostic evaluation?","Perform a renal ultrasound with Doppler study, followed by a Technetium perfusion scan if indicated, to assess for obstruction.","['Insert a Foley catheter to relieve potential bladder outlet obstruction.', 'Immediately proceed with hemodialysis to manage the electrolyte imbalances.', 'Administer intravenous fluids to improve renal perfusion.', 'Perform a renal ultrasound with Doppler study, followed by a Technetium perfusion scan if indicated, to assess for obstruction.', 'Order a CT scan of the abdomen and pelvis with contrast to evaluate for kidney stones.']",D,Start of diagnosis -> Anuria -> Renal US with Doppler study Technetium perfusion scan -> Positive scan -> Obstruction,acute renal failure
"A 55-year-old male with a history of hypertension and diabetes presents to the emergency department with complaints of anuria for the past 24 hours. Initial assessment reveals elevated creatinine and BUN levels. After catheter placement, there is still no urine output. Which of the following is the MOST appropriate next step in the evaluation of this patient's acute renal failure?",Renal biopsy,"['Initiate intravenous fluids', 'Administer a loop diuretic', 'Perform renal ultrasound with Doppler study and Technetium perfusion scan', 'Order serology tests', 'Renal biopsy']",E,Start of diagnosis -> Anuria -> Renal US with Doppler study Technetium perfusion scan -> Negative scan -> Serology Renal biopsy,acute renal failure
"A 70-year-old male presents with anuria following a hypotensive episode during surgery. Initial resuscitation efforts have been made but urine output remains absent. After initial stabilization, what is the MOST appropriate next step in the evaluation of this patient's acute renal failure?",Perform a renal ultrasound with Doppler study followed by a Technetium perfusion scan; a negative scan suggests severe ATN.,"['Administer a fluid bolus to assess for volume responsiveness.', 'Perform a renal ultrasound with Doppler study followed by a Technetium perfusion scan; a negative scan suggests severe ATN.', 'Immediately initiate hemodialysis due to the anuria.', 'Insert a Foley catheter to rule out urinary retention.', 'Order a CT scan of the abdomen and pelvis to evaluate for obstruction.']",B,Start of diagnosis -> Anuria -> Renal US with Doppler study Technetium perfusion scan -> Negative scan -> Severe ATN,acute renal failure
