name,zero_shot,real,question,path
acute renal failure,C,E,"A 55-year-old male with a history of hypertension and diabetes presents to the emergency department with anuria for the past 24 hours. Initial labs show elevated creatinine and BUN. After catheter placement, there is still no urine output. Which is the MOST appropriate next step in evaluating this patient's acute renal failure?","Initial workup for anuria should start with noninvasive imaging; if the ultrasound and perfusion scan are negative, further evaluation (including serology and biopsy) may be warranted."
sexual dysfunction,D,E,"A 32-year-old woman reports experiencing pain during initial penetration, specifically at the point of insertion. She denies any history of trauma or abuse. After a detailed history and physical examination, what should be considered in the differential diagnosis?",Pain at initial penetration is more consistent with involuntary pelvic floor muscle contraction (vaginismus) rather than endometriosis.
vaginal bleeding in pregnancy,B,D,"A 28-year-old pregnant woman at 12 weeks gestation presents to the emergency department with vaginal bleeding. After stabilization, a speculum examination reveals a closed cervical os. What is the MOST appropriate next step in evaluating the cause of her bleeding?",Pregnant patient with vaginal bleeding and closed os -> Next step is to evaluate fetal viability -> Perform a transvaginal ultrasound to assess viability
vaginal bleeding in pregnancy,A,E,"A 28-year-old pregnant woman at approximately 10 weeks gestation presents to the emergency department with vaginal bleeding. After stabilization and determining gestational age, a speculum examination reveals an open cervical os. What is the most likely diagnosis?",Pregnant patient at 10 weeks with vaginal bleeding and open os -> Findings consistent with inevitable abortion
the acutely ill patient with hiv,E,D,"A 28-year-old pregnant woman at 24 weeks gestation presents to the emergency department with vaginal bleeding. After stabilization, an ultrasound reveals a normal placental location, and a speculum examination shows an open cervical os. What is the most likely diagnosis?",Pregnant patient at 24 weeks with vaginal bleeding and open os -> Findings consistent with preterm labor
biliary colic,B,D,"A 28-year-old pregnant woman at 12 weeks gestation presents with vaginal bleeding. After stabilization, a speculum examination reveals a closed cervical os. What is the MOST appropriate next step in evaluating the cause of her bleeding?","With vaginal bleeding in early pregnancy and closed os, assessment of fetal viability is required -> Perform a transvaginal ultrasound to assess fetal viability"
deep venous thrombosis,B,"D,","A 28-year-old pregnant woman at 24 weeks gestation presents with vaginal bleeding. After stabilization, an ultrasound reveals a normal placental location, and speculum examination shows an open cervical os. What is the most likely diagnosis?",Open cervical os at 24 weeks with vaginal bleeding indicates preterm labor
alcoholism,E,A,"A 45-year-old male with HIV and a CD4 count of 30 presents with severe headache, confusion, and stiff neck. What is the MOST appropriate next step in managing this patient?","In an HIV patient with CNS symptoms and low CD4 count, lumbar puncture is indicated (after appropriate imaging if needed) to evaluate for meningitis."
corneal abrasion,D,E,A 52-year-old male reports a constant high-pitched ringing in his ears with mixed hearing loss. Physical exam and basic tests are normal. What is the MOST appropriate next step in management?,Patient with tinnitus and mixed hearing loss -> Amplification with a hearing aid is the recommended initial management step.
premenstrual dysphoric disorder,C,B,"A 35-year-old woman presents with significant mood swings, irritability, and anxiety in the days leading up to her menstrual period, which have been tracked for two cycles and clearly worsen in the luteal phase. Initial nonpharmacologic interventions and an SSRI have not been effective. What is the MOST appropriate next step in managing her premenstrual dysphoric disorder?","For PMDD not responsive to SSRIs, hormonal therapy (oral contraceptives) is a well-established alternative to control anovulation and symptoms."
right ventricular failure,B,D,"A 55-year-old woman with a history of severe pneumonia is being evaluated for possible thyroid dysfunction. Her initial lab results show normal TSH but elevated free T4. Based on this information, which of the following is the most appropriate next step in management?",History of severe pneumonia -> Transient thyroid test abnormalities in sick euthyroid syndrome -> Isolated elevated free T4 with normal TSH is atypical -> Repeat free T4 measurement after recovery
hypokalemia,A,E,"A 45-year-old female presents with muscle weakness and fatigue. Her serum potassium is 3.2 mmol/L, urine potassium is 20 mmol/L, and TTKG is 5; blood pressure and acid–base status are normal. What is the most likely cause of her hypokalemia?",Patient with hypokalemia -> Urine K+ >15 and TTKG >4 indicate renal loss -> Normal BP/acid–base exclude mineralocorticoid excess -> Diuretic abuse is most consistent
anorexia,B,E,"A 78-year-old woman with hypertension and osteoarthritis presents with decreased appetite and unintentional 10-pound weight loss over 3 months. She denies fever, abdominal pain, and GI symptoms but reports fatigue. Which is the most appropriate next step in evaluating her anorexia?","Patient with anorexia -> Perform history, physical exam, and review medications -> Medication side effects (if sedatives/psychotropics are present) may be contributory"
anorexia,D,E,"A 70-year-old female with anorexia, chronic constipation, and occasional use of over‐the‐counter medications presents for evaluation. After a thorough history, physical, and review of her conditions and medications, which potential cause should be considered?",Patient with anorexia -> History and exam -> Medication review in context of constipation -> Laxative abuse is a plausible cause
anorexia,B,E,"A 70-year-old patient with Parkinson’s disease presents with anorexia. After initial assessment, which medication should be considered as a potential cause of his anorexia?",Patient with anorexia -> Review medications in a patient with Parkinson’s -> Levodopa may cause appetite suppression
anorexia,C,D,"A 28-year-old female presents with anorexia. After initial history and physical examination, what is the most important next step in evaluating the possible cause of her anorexia?",Patient with anorexia -> History and Physical exam -> Non-medical causes of anorexia -> Evaluate for eating disorders -> Consider: Anorexia nervosa or bulimia nervosa
lymphadenopathy,C,D,"A 54-year-old male presents with recent onset of enlarged lymph nodes in the neck that have persisted despite initial observation. After a negative abdominal CT scan, what is the MOST appropriate next step in the evaluation of his lymphadenopathy?",Patient with lymphadenopathy in the neck -> Negative imaging -> High suspicion for malignancy in accessible cervical node -> Tissue diagnosis via biopsy
metabolic acidosis,B,A,A 55-year-old male presents with shortness of breath and confusion. Laboratory studies reveal a serum bicarbonate level of 18 mEq/L with an elevated anion gap. Which toxin should be suspected as the cause of his metabolic acidosis?,Patient with elevated anion gap acidosis and clinical features of toxicity -> Salicylate poisoning is common and produces a mixed acid–base picture
metabolic acidosis,D,A,A 58-year-old male presents with a serum bicarbonate level of 18 mEq/L and an elevated anion gap. Which of the following is the most likely cause of his metabolic acidosis?,Elevated anion gap metabolic acidosis in an older adult -> Diarrhea causes normal anion gap acidosis -> Lactic acidosis is a common cause -> Most consistent with lab findings
