name,zero_shot,real,question,path
acute renal failure,C,E,"A 55-year-old male with a history of hypertension and diabetes presents to the emergency department with anuria for the past 24 hours. Initial labs show elevated creatinine and BUN. After catheter placement, there is still no urine output. Which is the MOST appropriate next step in evaluating this patient's acute renal failure?","Initial workup for anuria should start with noninvasive imaging; if the ultrasound and perfusion scan are negative, further evaluation (including serology and biopsy) may be warranted."
sexual dysfunction,B,E,"A 55-year-old male presents with a persistent low white blood cell count (WBC 3200/mm³) discovered during a routine check-up. Physical examination reveals no signs of infection, adenopathy, or splenomegaly; labs show normal hemoglobin, hematocrit, and platelets. What is the MOST appropriate next step in evaluating his leukopenia?",Asymptomatic leukopenia with normal other counts -> Evaluation for primary hematologic disorder is appropriate -> Referral to hematology.
sexual dysfunction,D,E,"A 32-year-old woman reports experiencing pain during initial penetration, specifically at the point of insertion. She denies any history of trauma or abuse. After a detailed history and physical examination, what should be considered in the differential diagnosis?",Pain at initial penetration is more consistent with involuntary pelvic floor muscle contraction (vaginismus) rather than endometriosis.
vaginal bleeding in pregnancy,B,D,"A 28-year-old pregnant woman at 12 weeks gestation presents to the emergency department with vaginal bleeding. After stabilization, a speculum examination reveals a closed cervical os. What is the MOST appropriate next step in evaluating the cause of her bleeding?",Pregnant patient with vaginal bleeding and closed os -> Next step is to evaluate fetal viability -> Perform a transvaginal ultrasound to assess viability
vaginal bleeding in pregnancy,A,D,"A 28-year-old pregnant woman at 12 weeks gestation presents to the emergency department with vaginal bleeding. After stabilization, a speculum examination reveals a closed cervical os. What is the next step in evaluating the cause of her bleeding?","Pregnant patient with vaginal bleeding, closed os -> Next step: assess fetal viability via transvaginal ultrasound"
vaginal bleeding in pregnancy,A,E,"A 28-year-old pregnant woman at approximately 10 weeks gestation presents to the emergency department with vaginal bleeding. After stabilization and determining gestational age, a speculum examination reveals an open cervical os. What is the most likely diagnosis?",Pregnant patient at 10 weeks with vaginal bleeding and open os -> Findings consistent with inevitable abortion
the acutely ill patient with hiv,E,D,"A 28-year-old pregnant woman at 24 weeks gestation presents to the emergency department with vaginal bleeding. After stabilization, an ultrasound reveals a normal placental location, and a speculum examination shows an open cervical os. What is the most likely diagnosis?",Pregnant patient at 24 weeks with vaginal bleeding and open os -> Findings consistent with preterm labor
the acutely ill patient with hiv,B,C,"A 35-year-old male with HIV presents to the emergency department with fever, fatigue, and a non-productive cough. He is on multiple medications. What is the most important aspect of his history to determine the cause of his symptoms?",Acute illness in an HIV patient -> Medication review is crucial to identify side effects.
belching,E,A,"A 45-year-old male with HIV presents to the emergency department with severe headache, confusion, and a stiff neck. His CD4 count is 30. What is the MOST appropriate next step in managing this patient?",Acute CNS symptoms in an HIV patient with low CD4 count -> Standard evaluation includes lumbar puncture (after appropriate imaging if indicated) -> Evaluate for meningitis.
biliary colic,E,C,A 45-year-old woman presents with recurrent episodes of severe right upper quadrant pain lasting several hours. Initial abdominal ultrasonography and biliary scintigraphy are negative. What is the MOST appropriate next step in management?,Patient with suspected biliary colic and negative imaging -> Consider sphincter of Oddi dysfunction -> Schedule diagnostic ERCP to assess dysfunction
biliary colic,B,D,"A 28-year-old pregnant woman at 12 weeks gestation presents with vaginal bleeding. After stabilization, a speculum examination reveals a closed cervical os. What is the MOST appropriate next step in evaluating the cause of her bleeding?","With vaginal bleeding in early pregnancy and closed os, assessment of fetal viability is required -> Perform a transvaginal ultrasound to assess fetal viability"
biliary colic,A,D,"A 28-year-old pregnant woman at 12 weeks gestation presents with vaginal bleeding. After stabilization, a speculum examination reveals a closed cervical os. What is the next step in evaluating the cause of her bleeding?",Closed cervical os in early pregnancy with bleeding -> Next step is to assess fetal viability via transvaginal ultrasound
deep venous thrombosis,A,E,"A 28-year-old pregnant woman at approximately 10 weeks gestation presents with vaginal bleeding. After stabilization and determination of gestational age, a speculum examination reveals an open cervical os. What is the most likely diagnosis?",Open cervical os at 10 weeks gestation with vaginal bleeding is consistent with inevitable abortion
deep venous thrombosis,B,"D,","A 28-year-old pregnant woman at 24 weeks gestation presents with vaginal bleeding. After stabilization, an ultrasound reveals a normal placental location, and speculum examination shows an open cervical os. What is the most likely diagnosis?",Open cervical os at 24 weeks with vaginal bleeding indicates preterm labor
alcoholism,E,A,"A 45-year-old male with HIV and a CD4 count of 30 presents with severe headache, confusion, and stiff neck. What is the MOST appropriate next step in managing this patient?","In an HIV patient with CNS symptoms and low CD4 count, lumbar puncture is indicated (after appropriate imaging if needed) to evaluate for meningitis."
tinnitus,C,B,"A 58-year-old male reports persistent ringing in both ears for the past 6 months, accompanied by gradual hearing loss. Audiological evaluation reveals symmetric sensorineural hearing loss with normal impedance and speech discrimination. After initial management with benzodiazepines, the tinnitus persists without relief. What is the next appropriate step in management?",Refractory tinnitus despite benzodiazepines -> Next step is to address the psychological impact through CBT.
