index,question,options,correct_option,old_path,new_path,condition
0,"A 72-year-old male presents with new-onset tremor, rigidity, and bradykinesia after being started on metoclopramide for nausea. What is the most appropriate next step in managing this patient's condition?","['Initiate levodopa/carbidopa therapy.', 'Prescribe amantadine to reduce tremor.', 'Increase the dose of metoclopramide to control nausea.', 'Refer the patient for deep brain stimulation surgery.', 'Discontinue metoclopramide if possible.']",E,"History, Physical examination -> Drug-induced parkinsonism -> Stop drugs if possible","History, Physical examination -> Drug-induced parkinsonism -> Discontinue offending medications, if feasible
",parkinson’s disease
1,"A 70-year-old patient presents with resting tremor, bradykinesia, and rigidity. After a thorough history and physical examination, Parkinson's disease is suspected. What is the preferred initial treatment approach for this patient, considering their age?","['Prescribe a non-ergot dopamine agonist such as ropinirole.', 'Initiate treatment with bromocriptine.', 'Recommend deep brain stimulation (DBS) as the first-line therapy.', 'Start with amantadine to manage dyskinesias.', 'Levodopa/carbidopa is preferred due to a lower risk of cognitive side effects compared to dopamine agonists in older patients.']",E,"History, Physical examination -> Give Levodopa -> Striatonigral degeneration","History and physical examination -> Levodopa administration -> Striatonigral degeneration.
",parkinson’s disease
2,"A 70-year-old patient presents with resting tremor, rigidity, and bradykinesia, suggestive of Parkinson's disease. After initial evaluation and treatment with levodopa, the patient shows improvement but continues to have mild symptoms. Considering the potential neuroprotective benefits, which of the following medications would be most appropriate to add to the patient's treatment regimen?","['Amantadine', 'Benztropine', 'Entacapone', 'Apomorphine', 'Selegiline']",E,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Selegiline","History and physical examination -> Levodopa administration -> Diagnosis of idiopathic Parkinson's disease -> Selegiline administration.
",parkinson’s disease
3,"A 58-year-old male presents with resting tremor, bradykinesia, and rigidity, leading to a diagnosis of idiopathic Parkinson's disease. His symptoms are causing significant disability and embarrassment. After initial treatment with levodopa, which provided some benefit, what is the next best step in management if the patient shows a sufficient response?","['Increase the dose of levodopa/carbidopa.', 'Initiate direct dopaminergic agonists.', 'Prescribe amantadine for dyskinesia.', 'Refer for deep brain stimulation (DBS).', 'Start selegiline for neuroprotection.']",B,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Direct Dopaminergic Agonists -> Sufficient response","History and Physical Examination -> Levodopa Administration -> Diagnosis of Idiopathic Parkinson's Disease -> Presence of Disabling or Socially Embarrassing Symptoms -> Direct Dopamine Agonist Administration -> Adequate Therapeutic Response
",parkinson’s disease
4,"A 70-year-old patient presents with resting tremor, bradykinesia and cogwheel rigidity, after a thorough evaluation, he is diagnosed with idiopathic Parkinson's disease. His symptoms are causing significant disability. Which of the following is the MOST appropriate initial treatment?","['Amantadine', 'Selegiline', 'Levodopa/carbidopa', 'Benztropine', 'Ropinirole']",C,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Levodopa/Carbidopa -> Sufficient response","History and physical examination -> Levodopa administration -> Diagnosis of idiopathic Parkinson's disease -> Presence of disabling or embarrassing symptoms -> Levodopa/Carbidopa administration -> Adequate therapeutic response
",parkinson’s disease
5,"A 58-year-old male presents with a 1-year history of resting tremor, bradykinesia, and rigidity, primarily affecting his right side. After a thorough history and physical examination, he is diagnosed with idiopathic Parkinson's disease. Levodopa is initiated, providing some relief, but he continues to experience symptoms that cause him significant embarrassment and social withdrawal. What is the MOST appropriate next step in managing this patient's Parkinson's disease?","['Increase the dose of levodopa/carbidopa.', 'Initiate deep brain stimulation (DBS) of the subthalamic nucleus.', 'Prescribe amantadine to manage dyskinesias.', 'Add a COMT inhibitor to his current levodopa regimen.', 'Add a dopamine agonist to his current levodopa regimen.']",E,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Direct Dopaminergic Agonists -> Add Dopamine Agonists","History and physical examination -> Levodopa administration -> Diagnosis of idiopathic Parkinson's disease -> Presence of disabling or embarrassing symptoms -> Initiation of direct dopaminergic agonists -> Dopamine agonist augmentation
",parkinson’s disease
6,"A 68-year-old male is diagnosed with idiopathic Parkinson's disease after presenting with resting tremor, bradykinesia, and rigidity. He experiences significant disability and embarrassment due to his motor symptoms despite being on levodopa/carbidopa. What is the next appropriate step in managing his Parkinson's disease?","['Increase the dose of levodopa/carbidopa.', 'Initiate deep brain stimulation (DBS).', 'Add amantadine to his current medication regimen.', 'Add a COMT inhibitor to his current medication regimen.', 'Add dopamine agonists to his current medication regimen.']",E,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Levodopa/Carbidopa -> Add Dopamine Agonists","History and physical examination -> Levodopa administration -> Diagnosis of idiopathic Parkinson's disease -> Presence of disabling or embarrassing symptoms -> Levodopa/Carbidopa therapy -> Dopamine agonist augmentation
",parkinson’s disease
7,A 68-year-old male with Parkinson's disease initially managed with levodopa/carbidopa presents with persistent symptoms causing disability despite optimal levodopa dosage. What is the MOST appropriate next step in managing his Parkinson's disease?,"['Increase the dosage of levodopa/carbidopa.', 'Initiate treatment with amantadine.', 'Initiate treatment with a direct dopamine agonist and gradually discontinue levodopa/carbidopa.', 'Refer the patient for deep brain stimulation (DBS).', 'Add a COMT inhibitor to the levodopa/carbidopa regimen.']",C,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Direct Dopaminergic Agonists -> Discontinue and Add Dopamine Agonists","History and Physical Examination -> Levodopa Administration -> Diagnosis of Idiopathic Parkinson's Disease -> Presence of Disabling or Embarrassing Symptoms -> Initiation of Direct Dopamine Agonists -> Discontinuation of Levodopa and Addition of Dopamine Agonists
",parkinson’s disease
8,"A 68-year-old male has been managed for idiopathic Parkinson's disease with Levodopa/Carbidopa for 5 years. Over the past few months, he has developed disabling dyskinesias and experiences significant embarrassment due to uncontrolled movements. What is the MOST appropriate next step in managing his medication?","['Increase the dose of Levodopa/Carbidopa.', 'Add a COMT inhibitor such as Entacapone.', 'Initiate amantadine therapy.', 'Reduce the dose of Levodopa/Carbidopa.', 'Discontinue Levodopa/Carbidopa and initiate dopamine agonists.']",E,"History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Levodopa/Carbidopa -> Discontinue and Add Dopamine Agonists","History and physical examination -> Administer levodopa -> Diagnosis of idiopathic Parkinson's disease -> Presence of disabling or embarrassing symptoms -> Initiate levodopa/carbidopa therapy -> Discontinue levodopa/carbidopa and initiate dopamine agonist therapy.
",parkinson’s disease
9,"A 70-year-old patient presents with a resting tremor, bradykinesia, and cogwheel rigidity. After a thorough history and physical examination, specific findings suggest a type of secondary Parkinson's disease. Which of the following steps is most appropriate in determining the specific type of secondary Parkinson's disease?","['Administering levodopa/carbidopa to assess response.', 'Performing genetic testing for common PD mutations.', 'Specific findings indicate type of secondary PD', 'Initiating physical therapy to improve motor symptoms.', 'Ordering an MRI to rule out structural abnormalities.']",C,"History, Physical examination -> Specific findings indicate type of secondary PD","History and physical examination -> Specific findings indicative of secondary parkinsonism
",parkinson’s disease
