name,zero_shot,zero_shot_rag,real,question,path
parkinson’s disease,C,C,D,"A 72-year-old male presents with symptoms of Parkinson's disease, including tremor, rigidity, and bradykinesia, but his history reveals he recently started taking metoclopramide for gastroparesis. What is the most appropriate initial step in managing his condition?","History, Physical examination -> Drug-induced parkinsonism -> Stop drugs if possible"
parkinson’s disease,C,The correct answer is (b) Striatonigral degeneration.,B,"A 70-year-old patient presents with resting tremor, bradykinesia, and rigidity, leading to a suspected diagnosis of Parkinson's disease. After initial evaluation, levodopa is prescribed. If the patient's condition progresses despite this treatment, which of the following underlying pathologies is most likely?","History, Physical examination -> Give Levodopa -> Striatonigral degeneration"
parkinson’s disease,C,C,D,"A 68-year-old male presents with a resting tremor, bradykinesia, and rigidity, leading to a diagnosis of Parkinson's disease. Initial treatment with levodopa shows improvement, but the patient's symptoms are not fully controlled. Given the possible neuroprotective benefits, which of the following medications should be considered as an adjunct therapy?","History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Selegiline"
parkinson’s disease,C,C,A,"A 68-year-old patient presents with a recent diagnosis of idiopathic Parkinson's disease. After a thorough history and physical examination, the decision is made to initiate treatment. Considering the patient's age and the goal of minimizing cognitive side effects, which of the following would be the MOST appropriate initial therapeutic approach?","History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Direct Dopaminergic Agonists -> Sufficient response"
parkinson’s disease,C,C,A,"A 72-year-old patient presents with resting tremor, bradykinesia, and rigidity, leading to a suspected diagnosis of idiopathic Parkinson's Disease (PD). After a thorough history and physical examination, what is the MOST appropriate initial treatment approach if the patient's symptoms are causing significant disability?","History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Levodopa/Carbidopa -> Sufficient response"
parkinson’s disease,C,C,C,"A 68-year-old male presents with a resting tremor, bradykinesia, and rigidity, suggestive of Parkinson's disease. Initial treatment with levodopa improves his motor symptoms, but he develops disabling motor fluctuations and dyskinesias. Considering his age and the need for additional symptomatic control, what is the MOST appropriate next step in managing his Parkinson's disease?","History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Direct Dopaminergic Agonists -> Add Dopamine Agonists"
parkinson’s disease,C,The answer is (e) Add a dopamine agonist to the,E,"A 68-year-old male presents with a resting tremor, bradykinesia, and rigidity, consistent with Parkinson's disease. He is started on levodopa/carbidopa, but his symptoms are not adequately controlled, leading to significant disability. What would be the next appropriate step in managing his Parkinson's disease?","History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Levodopa/Carbidopa -> Add Dopamine Agonists"
parkinson’s disease,C,The correct answer is (d) Refer the patient for deep brain stimulation (,C,"A 62-year-old male presents with a recent diagnosis of idiopathic Parkinson's Disease. Initial treatment with levodopa effectively managed his symptoms. However, he now experiences persistent symptoms causing disability despite optimized levodopa dosage. What is the MOST appropriate next step in managing this patient's Parkinson's disease?","History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Direct Dopaminergic Agonists -> Discontinue and Add Dopamine Agonists"
parkinson’s disease,C,C,C,"A 68-year-old male with a 10-year history of Parkinson's disease is experiencing disabling motor fluctuations and dyskinesias despite being on levodopa/carbidopa. After history and physical examination, the physician decides to change the treatment. Which of the following is the MOST appropriate next step in managing this patient's medication?","History, Physical examination -> Give Levodopa -> Idiopathic (primary) PD -> Symptoms causing disability or embarrassment -> Levodopa/Carbidopa -> Discontinue and Add Dopamine Agonists"
parkinson’s disease,C,C,D,"A 70-year-old patient presents with a resting tremor, bradykinesia, and cogwheel rigidity. After a thorough history and physical examination, specific findings suggest a type of secondary Parkinsonism. Which of the following steps is MOST appropriate in determining the underlying cause?","History, Physical examination -> Specific findings indicate type of secondary PD"
noncardiac chest pain,C,The correct answer is (A) Perform esophageal manometry to evaluate,D,"A 48-year-old male with a history of anxiety presents to the clinic with recurrent episodes of chest pain. Cardiac workup, including coronary angiography, was unremarkable. Given the suspicion for noncardiac chest pain, what is the MOST appropriate next step in management?",Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient responds to PPI treatment -> Treat the patient for gastroesophageal reflux disease
noncardiac chest pain,C,C,C,"A 45-year-old male presents to the clinic with recurrent episodes of noncardiac chest pain. His ECG and cardiac enzymes are normal, and a recent coronary angiogram showed no significant blockages. After an initial assessment, a double dose of proton pump inhibitor twice daily for 14 days was administered, but the patient reports no improvement in his symptoms. An endoscopy revealed no structural abnormalities or mucosal damage. Provocative testing did not induce any pain. What is the MOST appropriate next step in managing this patient's chest pain?","Patient with noncardiac chest pain and normal coronary arteries -> Initial assessment of the patient -> Administer a double dose of proton pump inhibitor twice daily for 14 days -> Patient does not respond to PPI treatment -> Perform an endoscopy -> No pain induced during provocative testing -> Conduct 24-hour pH monitoring -> Chest pain correlates with low pH -> Esophageal cause, likely GERD -> Treat the patient for gastroesophageal reflux disease"
